## Header ##
[General info]
User	FDN
Device	AI22-1B
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:33:40
Note	SMU 1B

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.340486	9.652201	0.166154	4.851493	0.806094	4.32E+2	4.16E+2	24.53	0.81
RV	0.348057	11.765921	0.170769	6.246568	1.066721	3.36E+2	4.07E+2	26.05	1.07
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999980E-2	1.226597E+1	3.599999E-1	-3.903650E-1						
-7.999991E-2	1.170282E+1	3.399997E-1	2.657444E-1						
-5.999970E-2	1.119570E+1	3.199985E-1	9.382740E-1						
-4.000013E-2	1.071246E+1	2.999996E-1	1.621572E+0						
-1.999959E-2	1.018411E+1	2.799991E-1	2.315963E+0						
2.991177E-7	9.652192E+0	2.599995E-1	3.024932E+0						
2.000019E-2	9.110108E+0	2.399993E-1	3.735303E+0						
4.000040E-2	8.532049E+0	2.199988E-1	4.451476E+0						
6.000062E-2	7.951192E+0	1.999989E-1	5.184835E+0						
8.000018E-2	7.360162E+0	1.799990E-1	5.909183E+0						
1.000014E-1	6.785117E+0	1.600010E-1	6.644970E+0						
1.200003E-1	6.202783E+0	1.400015E-1	7.387661E+0						
1.400012E-1	5.623949E+0	1.200009E-1	8.110402E+0						
1.600010E-1	5.031312E+0	1.000007E-1	8.824578E+0						
1.799990E-1	4.450195E+0	8.000051E-2	9.459176E+0						
1.999989E-1	3.866339E+0	6.000062E-2	1.005505E+1						
2.199988E-1	3.292736E+0	4.000073E-2	1.064140E+1						
2.399996E-1	2.726106E+0	2.000019E-2	1.121637E+1						
2.599985E-1	2.165999E+0	6.250133E-7	1.176590E+1						
2.799994E-1	1.614343E+0	-1.999959E-2	1.230972E+1						
2.999996E-1	1.066531E+0	-3.999981E-2	1.283735E+1						
3.199995E-1	5.310147E-1	-6.000002E-2	1.331434E+1						
3.399994E-1	1.243387E-2	-8.000024E-2	1.378057E+1						
3.599996E-1	-4.960946E-1	-1.000001E-1	1.425741E+1						
