time (h),temperature (°C),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,23.13,40.2,0.9900,-1.136,-1.125
0.1667,23.24,39.2,0.9900,-1.134,-1.122
0.3333,23.32,40.5,0.9900,-1.137,-1.125
0.5000,23.16,39.1,0.9900,-1.137,-1.125
0.6667,22.97,39.4,0.9900,-1.138,-1.127
0.8333,23.39,38.7,0.9900,-1.135,-1.123
1.0000,23.16,39.0,0.9900,-1.135,-1.124
1.1667,23.26,38.7,0.9900,-1.137,-1.125
1.3333,23.39,39.0,0.9900,-1.133,-1.121
1.5000,23.50,37.7,0.9900,-1.137,-1.125
1.6667,23.11,38.9,0.9900,-1.135,-1.124
1.8333,23.43,37.9,0.9900,-1.132,-1.121
2.0000,23.04,38.5,0.9900,-1.136,-1.125
2.1667,23.51,36.7,0.9900,-1.139,-1.128
2.3333,23.39,36.4,0.9900,-1.136,-1.125
2.5000,23.81,37.3,0.9900,-1.135,-1.124
2.6667,23.81,37.3,0.9900,-1.137,-1.126
2.8333,23.70,36.6,0.9900,-1.139,-1.127
3.0000,23.89,36.9,0.9900,-1.139,-1.128
3.1667,23.73,37.3,0.9900,-1.141,-1.129
3.3333,23.74,37.2,0.9900,-1.134,-1.122
3.5000,23.58,36.8,0.9900,-1.138,-1.126
3.6667,23.96,37.1,0.9900,-1.135,-1.124
3.8333,24.18,37.5,0.9900,-1.135,-1.124
4.0000,23.92,36.8,0.9900,-1.141,-1.129
4.1667,23.80,36.5,0.9900,-1.134,-1.123
4.3333,24.00,37.4,0.9900,-1.138,-1.127
4.5000,24.14,36.1,0.9900,-1.137,-1.126
4.6667,23.56,36.3,0.9900,-1.136,-1.124
4.8333,24.17,37.1,0.9900,-1.135,-1.123
5.0000,24.22,36.7,0.9900,-1.136,-1.125
5.1667,24.14,37.1,0.9900,-1.138,-1.126
5.3333,24.27,36.8,0.9900,-1.139,-1.128
5.5000,24.25,36.6,0.9900,-1.139,-1.128
5.6667,23.68,36.7,0.9900,-1.136,-1.125
5.8333,23.79,36.9,0.9900,-1.137,-1.126
6.0000,23.75,36.3,0.9900,-1.136,-1.124
6.1667,23.91,35.6,0.9900,-1.135,-1.124
6.3333,23.78,36.3,0.9900,-1.138,-1.127
6.5000,23.80,36.8,0.9900,-1.138,-1.127
6.6667,23.73,35.2,0.9900,-1.136,-1.125
6.8333,24.02,37.0,0.9900,-1.135,-1.124
7.0000,23.89,36.8,0.9900,-1.138,-1.127
7.1667,23.79,37.7,0.9900,-1.136,-1.125
7.3333,24.10,36.8,0.9900,-1.139,-1.127
7.5000,23.98,37.1,0.9900,-1.135,-1.124
7.6667,23.68,36.4,0.9900,-1.140,-1.128
7.8333,23.98,38.1,0.9900,-1.136,-1.125
8.0000,23.61,38.4,0.9900,-1.141,-1.130
8.1667,23.57,38.0,0.9900,-1.135,-1.124
8.3333,23.88,38.7,0.9900,-1.138,-1.126
8.5000,24.04,37.5,0.9900,-1.138,-1.127
8.6667,24.07,38.9,0.9900,-1.138,-1.127
8.8333,23.80,37.4,0.9900,-1.139,-1.128
9.0000,23.27,37.0,0.9900,-1.139,-1.127
9.1667,23.45,39.2,0.9900,-1.135,-1.124
9.3333,23.70,39.0,0.9900,-1.137,-1.126
9.5000,23.47,39.3,0.9900,-1.136,-1.125
9.6667,23.61,40.0,0.9900,-1.136,-1.124
9.8333,23.65,41.1,0.9900,-1.136,-1.125
10.0000,23.34,40.1,0.9900,-1.136,-1.125
10.1667,23.34,40.0,0.9900,-1.137,-1.125
10.3333,23.09,40.0,0.9900,-1.136,-1.125
10.5000,23.41,41.8,0.9900,-1.140,-1.129
10.6667,23.36,41.5,0.9900,-1.136,-1.125
10.8333,23.04,40.6,0.9900,-1.135,-1.124
11.0000,23.07,41.6,0.9900,-1.135,-1.124
11.1667,23.13,42.0,0.9900,-1.138,-1.127
11.3333,23.27,42.4,0.9900,-1.137,-1.126
11.5000,23.19,42.5,0.9900,-1.139,-1.127
11.6667,23.15,43.6,0.9900,-1.139,-1.128
11.8333,23.32,42.4,0.9900,-1.136,-1.125
12.0000,23.01,41.9,0.9900,-1.140,-1.128
12.1667,22.76,42.4,0.9900,-1.143,-1.131
12.3333,22.54,44.9,0.9900,-1.142,-1.130
12.5000,22.83,43.1,0.9900,-1.141,-1.129
12.6667,22.88,44.1,0.9900,-1.137,-1.126
12.8333,22.37,44.9,0.9900,-1.138,-1.127
13.0000,22.75,44.5,0.9900,-1.139,-1.128
13.1667,22.66,44.1,0.9900,-1.139,-1.127
13.3333,22.55,44.9,0.9900,-1.139,-1.127
13.5000,22.80,45.0,0.9900,-1.139,-1.128
13.6667,22.55,45.6,0.9900,-1.137,-1.126
13.8333,22.44,45.2,0.9900,-1.138,-1.126
14.0000,22.43,45.2,0.9900,-1.138,-1.126
14.1667,22.25,46.4,0.9900,-1.140,-1.128
14.3333,22.45,46.3,0.9900,-1.140,-1.129
14.5000,22.59,45.9,0.9900,-1.138,-1.127
14.6667,22.26,46.1,0.9900,-1.137,-1.126
14.8333,22.14,45.7,0.9900,-1.137,-1.126
15.0000,22.44,47.3,0.9900,-1.135,-1.123
15.1667,22.07,47.9,0.9900,-1.139,-1.128
15.3333,22.24,47.9,0.9900,-1.137,-1.125
15.5000,22.17,47.7,0.9900,-1.139,-1.128
15.6667,22.28,46.1,0.9900,-1.140,-1.128
15.8333,21.97,47.1,0.9900,-1.138,-1.127
16.0000,22.37,48.3,0.9900,-1.138,-1.126
16.1667,21.96,47.6,0.9900,-1.139,-1.127
16.3333,21.67,46.2,0.9900,-1.136,-1.125
16.5000,22.02,48.9,0.9900,-1.139,-1.128
16.6667,22.10,48.0,0.9900,-1.137,-1.126
16.8333,21.87,48.8,0.9900,-1.140,-1.129
17.0000,21.86,47.7,0.9900,-1.139,-1.127
17.1667,22.06,50.0,0.9900,-1.139,-1.128
17.3333,22.32,47.6,0.9900,-1.139,-1.128
17.5000,21.86,47.7,0.9900,-1.138,-1.127
17.6667,22.26,47.2,0.9900,-1.139,-1.128
17.8333,21.97,47.8,0.9900,-1.140,-1.129
18.0000,21.72,50.1,0.9900,-1.140,-1.129
18.1667,21.81,47.9,0.9900,-1.141,-1.129
18.3333,22.02,48.9,0.9900,-1.136,-1.124
18.5000,21.93,48.6,0.9900,-1.137,-1.126
18.6667,22.16,47.1,0.9900,-1.137,-1.125
18.8333,22.13,48.1,0.9900,-1.136,-1.124
19.0000,21.85,47.3,0.9900,-1.144,-1.132
19.1667,22.16,47.9,0.9900,-1.139,-1.128
19.3333,22.24,47.9,0.9900,-1.139,-1.128
19.5000,22.15,46.6,0.9900,-1.138,-1.127
19.6667,22.29,46.4,0.9900,-1.140,-1.129
19.8333,21.73,48.7,0.9900,-1.141,-1.129
20.0000,22.09,47.7,0.9900,-1.138,-1.126
20.1667,22.13,45.4,0.9900,-1.137,-1.126
20.3333,22.39,46.5,0.9900,-1.141,-1.129
20.5000,22.18,48.0,0.9900,-1.137,-1.126
20.6667,22.01,45.0,0.9900,-1.136,-1.124
20.8333,22.26,46.2,0.9900,-1.136,-1.125
21.0000,22.45,46.3,0.9900,-1.136,-1.124
21.1667,22.10,45.2,0.9900,-1.138,-1.127
21.3333,22.34,45.3,0.9900,-1.139,-1.128
21.5000,22.06,45.0,0.9900,-1.139,-1.128
21.6667,22.26,45.7,0.9900,-1.136,-1.124
21.8333,22.13,45.4,0.9900,-1.134,-1.123
22.0000,22.28,44.7,0.9900,-1.140,-1.129
22.1667,22.50,44.6,0.9900,-1.138,-1.127
22.3333,22.50,43.6,0.9900,-1.141,-1.130
22.5000,22.73,43.4,0.9900,-1.143,-1.131
22.6667,22.93,43.7,0.9900,-1.139,-1.127
22.8333,23.32,42.0,0.9900,-1.135,-1.124
23.0000,22.83,43.9,0.9900,-1.137,-1.126
23.1667,22.60,44.6,0.9900,-1.139,-1.127
23.3333,23.12,43.0,0.9900,-1.140,-1.128
23.5000,22.86,42.7,0.9900,-1.138,-1.127
23.6667,23.01,42.2,0.9900,-1.137,-1.125
23.8333,23.23,42.3,0.9900,-1.136,-1.125
24.0000,22.85,42.5,0.9900,-1.135,-1.124
24.1667,22.94,42.5,0.9900,-1.135,-1.123
24.3333,22.91,41.1,0.9900,-1.139,-1.127
24.5000,22.71,41.6,0.9900,-1.138,-1.127
24.6667,23.26,42.0,0.9900,-1.138,-1.126
24.8333,23.52,41.5,0.9900,-1.135,-1.124
25.0000,23.19,42.3,0.9900,-1.139,-1.127
25.1667,23.51,42.3,0.9900,-1.136,-1.125
25.3333,23.44,40.7,0.9900,-1.137,-1.126
25.5000,23.43,40.5,0.9900,-1.137,-1.125
25.6667,23.30,40.7,0.9900,-1.134,-1.123
25.8333,23.75,38.7,0.9900,-1.138,-1.126
26.0000,23.66,39.6,0.9900,-1.139,-1.128
26.1667,23.51,38.2,0.9900,-1.138,-1.127
26.3333,23.78,40.0,0.9900,-1.134,-1.123
26.5000,23.55,38.1,0.9900,-1.134,-1.123
26.6667,23.78,38.8,0.9900,-1.136,-1.124
26.8333,23.61,37.0,0.9900,-1.137,-1.125
27.0000,24.05,37.3,0.9900,-1.138,-1.126
27.1667,23.91,37.8,0.9900,-1.142,-1.131
27.3333,23.98,37.2,0.9900,-1.140,-1.128
27.5000,23.63,40.2,0.9900,-1.139,-1.128
27.6667,23.61,38.6,0.9900,-1.137,-1.126
27.8333,23.99,37.6,0.9900,-1.139,-1.128
28.0000,23.87,36.7,0.9900,-1.139,-1.127
28.1667,23.96,38.1,0.9900,-1.138,-1.126
28.3333,23.97,36.7,0.9900,-1.141,-1.130
28.5000,23.85,34.5,0.9900,-1.139,-1.128
28.6667,23.93,38.0,0.9900,-1.139,-1.128
28.8333,23.68,35.1,0.9900,-1.139,-1.128
29.0000,24.05,36.6,0.9900,-1.140,-1.129
29.1667,23.82,36.0,0.9900,-1.137,-1.125
29.3333,24.08,36.5,0.9900,-1.139,-1.128
29.5000,24.06,35.3,0.9900,-1.141,-1.130
29.6667,24.35,36.5,0.9900,-1.135,-1.124
29.8333,24.12,36.2,0.9900,-1.140,-1.129
30.0000,24.22,37.0,0.9900,-1.139,-1.127
30.1667,23.97,36.9,0.9900,-1.143,-1.132
30.3333,24.26,37.1,0.9900,-1.141,-1.129
30.5000,23.86,35.1,0.9900,-1.140,-1.129
30.6667,23.58,36.4,0.9900,-1.142,-1.130
30.8333,24.07,36.6,0.9900,-1.143,-1.131
31.0000,23.60,37.1,0.9900,-1.140,-1.129
31.1667,23.69,37.1,0.9900,-1.138,-1.126
31.3333,24.06,36.8,0.9900,-1.142,-1.130
31.5000,23.80,37.9,0.9900,-1.138,-1.127
31.6667,24.10,36.2,0.9900,-1.139,-1.127
31.8333,23.90,34.9,0.9900,-1.137,-1.126
32.0000,23.85,35.5,0.9900,-1.139,-1.127
32.1667,24.01,35.2,0.9900,-1.142,-1.130
32.3333,23.86,36.4,0.9900,-1.138,-1.127
32.5000,23.89,36.7,0.9900,-1.143,-1.131
32.6667,23.59,35.6,0.9900,-1.138,-1.126
32.8333,23.62,38.9,0.9900,-1.140,-1.129
33.0000,23.78,37.6,0.9900,-1.142,-1.130
33.1667,23.64,37.5,0.9900,-1.139,-1.127
33.3333,23.71,36.2,0.9900,-1.139,-1.128
33.5000,23.45,36.6,0.9900,-1.141,-1.129
33.6667,23.45,36.3,0.9900,-1.143,-1.131
33.8333,23.58,37.8,0.9900,-1.140,-1.128
34.0000,23.30,39.7,0.9900,-1.138,-1.126
34.1667,23.58,39.4,0.9900,-1.134,-1.123
34.3333,23.59,39.3,0.9900,-1.137,-1.126
34.5000,23.43,37.1,0.9900,-1.139,-1.127
34.6667,23.31,39.3,0.9900,-1.137,-1.125
34.8333,23.46,38.7,0.9900,-1.139,-1.127
35.0000,23.06,39.6,0.9900,-1.137,-1.126
35.1667,23.07,39.5,0.9900,-1.141,-1.129
35.3333,23.25,39.5,0.9900,-1.140,-1.128
35.5000,23.22,39.6,0.9900,-1.141,-1.130
35.6667,23.28,39.2,0.9900,-1.135,-1.124
35.8333,23.29,40.2,0.9900,-1.140,-1.128
36.0000,22.86,39.1,0.9900,-1.136,-1.125
36.1667,22.97,41.6,0.9900,-1.143,-1.131
36.3333,22.98,40.4,0.9900,-1.139,-1.128
36.5000,22.80,41.0,0.9900,-1.141,-1.129
36.6667,23.03,40.1,0.9900,-1.140,-1.129
36.8333,22.76,41.8,0.9900,-1.142,-1.131
37.0000,22.56,41.5,0.9900,-1.136,-1.125
37.1667,22.71,41.5,0.9900,-1.139,-1.128
37.3333,22.27,40.8,0.9900,-1.140,-1.129
37.5000,22.32,41.4,0.9900,-1.142,-1.130
37.6667,22.34,41.1,0.9900,-1.139,-1.128
37.8333,22.35,40.6,0.9900,-1.138,-1.127
38.0000,22.57,41.9,0.9900,-1.138,-1.127
38.1667,22.71,42.6,0.9900,-1.140,-1.128
38.3333,22.28,43.2,0.9900,-1.139,-1.128
38.5000,22.35,41.8,0.9900,-1.142,-1.130
38.6667,22.23,41.5,0.9900,-1.142,-1.130
38.8333,22.10,42.9,0.9900,-1.141,-1.129
39.0000,22.17,42.2,0.9900,-1.143,-1.131
39.1667,22.13,42.4,0.9900,-1.139,-1.128
39.3333,22.23,42.5,0.9900,-1.136,-1.125
39.5000,22.06,44.9,0.9900,-1.138,-1.127
39.6667,22.26,43.1,0.9900,-1.139,-1.128
39.8333,22.13,43.0,0.9900,-1.142,-1.130
40.0000,22.16,42.6,0.9900,-1.140,-1.129
40.1667,22.44,42.3,0.9900,-1.140,-1.129
40.3333,22.22,44.1,0.9900,-1.141,-1.130
40.5000,22.10,43.3,0.9900,-1.139,-1.128
40.6667,22.27,44.2,0.9900,-1.140,-1.129
40.8333,21.95,42.9,0.9900,-1.140,-1.128
41.0000,22.10,43.9,0.9900,-1.138,-1.126
41.1667,22.31,43.4,0.9900,-1.138,-1.126
41.3333,21.98,42.4,0.9900,-1.141,-1.130
41.5000,21.98,41.4,0.9900,-1.139,-1.128
41.6667,22.04,42.6,0.9900,-1.141,-1.130
41.8333,21.71,42.6,0.9900,-1.137,-1.125
42.0000,22.26,43.7,0.9900,-1.142,-1.130
42.1667,22.12,43.9,0.9900,-1.137,-1.126
42.3333,22.33,42.3,0.9900,-1.141,-1.129
42.5000,22.13,43.5,0.9900,-1.141,-1.129
42.6667,22.33,41.5,0.9900,-1.140,-1.128
42.8333,21.85,42.8,0.9900,-1.145,-1.134
43.0000,21.83,42.7,0.9900,-1.142,-1.131
43.1667,22.09,43.1,0.9900,-1.141,-1.130
43.3333,22.24,42.2,0.9900,-1.141,-1.129
43.5000,22.12,43.0,0.9900,-1.139,-1.128
43.6667,22.10,41.9,0.9900,-1.141,-1.129
43.8333,21.97,42.7,0.9900,-1.140,-1.128
44.0000,22.42,41.7,0.9900,-1.141,-1.130
44.1667,22.35,40.9,0.9900,-1.140,-1.128
44.3333,22.38,42.7,0.9900,-1.139,-1.127
44.5000,22.10,40.0,0.9900,-1.139,-1.127
44.6667,22.15,42.6,0.9900,-1.136,-1.125
44.8333,22.40,42.1,0.9900,-1.140,-1.128
45.0000,22.13,39.9,0.9900,-1.138,-1.127
45.1667,22.61,40.3,0.9900,-1.142,-1.131
45.3333,22.21,39.9,0.9900,-1.140,-1.129
45.5000,22.18,41.6,0.9900,-1.141,-1.130
45.6667,22.39,39.6,0.9900,-1.139,-1.127
45.8333,22.30,40.4,0.9900,-1.140,-1.129
46.0000,22.62,38.4,0.9900,-1.141,-1.130
46.1667,22.57,39.1,0.9900,-1.141,-1.130
46.3333,22.95,39.4,0.9900,-1.139,-1.127
46.5000,22.62,38.6,0.9900,-1.138,-1.126
46.6667,22.69,39.8,0.9900,-1.140,-1.128
46.8333,22.56,39.2,0.9900,-1.140,-1.129
47.0000,22.89,39.3,0.9900,-1.141,-1.130
