## Header ##
[General info]
User	FDN
Device	AI22-1B
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-19
Time	21:19:00
Note	SMU 1B

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.275013	11.564301	0.137658	6.074936	0.836265	2.55E+2	3.18E+2	26.29	0.84
RV	0.279999	17.373148	0.141471	10.368003	1.466773	1.53E+2	3.28E+2	30.15	1.47
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-1.000008E-1	1.472090E+1	2.799994E-1	2.096607E-1						
-7.999959E-2	1.403708E+1	2.599995E-1	1.665546E+0						
-5.999937E-2	1.345551E+1	2.399993E-1	3.129721E+0						
-3.999981E-2	1.286959E+1	2.199988E-1	4.590607E+0						
-1.999926E-2	1.224088E+1	1.999989E-1	6.076008E+0						
9.509089E-7	1.156430E+1	1.799987E-1	7.552318E+0						
2.000051E-2	1.084255E+1	1.600007E-1	9.010360E+0						
4.000040E-2	1.012036E+1	1.400008E-1	1.047503E+1						
6.000029E-2	9.343178E+0	1.200013E-1	1.193493E+1						
8.000051E-2	8.529516E+0	1.000014E-1	1.336222E+1						
1.000007E-1	7.701721E+0	8.000051E-2	1.436159E+1						
1.200009E-1	6.845291E+0	5.999997E-2	1.518638E+1						
1.400005E-1	5.972446E+0	4.000138E-2	1.595487E+1						
1.600014E-1	5.096117E+0	2.000084E-2	1.667366E+1						
1.799990E-1	4.211862E+0	9.509089E-7	1.737314E+1						
1.999995E-1	3.321391E+0	-2.000057E-2	1.803186E+1						
2.199991E-1	2.442093E+0	-3.999981E-2	1.865492E+1						
2.399996E-1	1.549944E+0	-5.999970E-2	1.924525E+1						
2.599992E-1	6.546262E-1	-7.999991E-2	1.981741E+1						
2.799994E-1	-2.153003E-1	-1.000001E-1	2.040046E+1						
