## Header ##
[General info]
User	FDN
Device	AI22-1A
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:35:30
Note	SMU 1A

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.708206	19.174271	0.396388	12.617953	5.001602	3.02E+2	2.85E+3	36.83	5.00
RV	0.709902	22.709978	0.444682	14.649093	6.514191	2.18E+2	1.70E+3	40.41	6.51
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999941E-2	1.958560E+1	7.199998E-1	-4.039579E-1						
-7.999917E-2	1.954688E+1	6.999996E-1	2.522139E-1						
-5.999796E-2	1.950397E+1	6.799987E-1	9.193180E-1						
-4.000063E-2	1.941544E+1	6.599988E-1	4.277050E+0						
-2.000103E-2	1.927940E+1	6.400015E-1	6.828460E+0						
-1.435322E-6	1.917388E+1	6.200009E-1	7.653422E+0						
1.999978E-2	1.916226E+1	6.000007E-1	8.493710E+0						
4.000034E-2	1.905987E+1	5.800007E-1	9.340978E+0						
6.000091E-2	1.888996E+1	5.599998E-1	1.018755E+1						
8.000115E-2	1.879802E+1	5.399993E-1	1.093374E+1						
1.000007E-1	1.868134E+1	5.199994E-1	1.176638E+1						
1.200013E-1	1.847407E+1	4.999998E-1	1.257611E+1						
1.399999E-1	1.822814E+1	4.799986E-1	1.337389E+1						
1.599995E-1	1.789332E+1	4.600015E-1	1.411323E+1						
1.799995E-1	1.757906E+1	4.400007E-1	1.479828E+1						
2.000003E-1	1.724934E+1	4.200004E-1	1.534773E+1						
2.199996E-1	1.689326E+1	4.000002E-1	1.586678E+1						
2.400002E-1	1.647066E+1	3.799990E-1	1.634548E+1						
2.600011E-1	1.602062E+1	3.599994E-1	1.680195E+1						
2.800010E-1	1.562344E+1	3.399988E-1	1.729674E+1						
3.000019E-1	1.522004E+1	3.199986E-1	1.777816E+1						
3.199986E-1	1.474477E+1	3.000009E-1	1.820743E+1						
3.399994E-1	1.423430E+1	2.800003E-1	1.862908E+1						
3.600003E-1	1.371023E+1	2.600007E-1	1.905413E+1						
3.800003E-1	1.312957E+1	2.399999E-1	1.941254E+1						
4.000005E-1	1.250082E+1	2.199993E-1	1.971647E+1						
4.200001E-1	1.181417E+1	1.999987E-1	2.001241E+1						
4.400013E-1	1.105799E+1	1.799991E-1	2.031573E+1						
4.600006E-1	1.028894E+1	1.599992E-1	2.059380E+1						
4.799986E-1	9.494958E+0	1.399990E-1	2.091275E+1						
4.999985E-1	8.669183E+0	1.200000E-1	2.113099E+1						
5.199990E-1	7.801723E+0	1.000014E-1	2.146160E+1						
5.399999E-1	6.925891E+0	8.000050E-2	2.180293E+1						
5.600002E-1	6.046284E+0	6.000026E-2	2.209746E+1						
5.800001E-1	5.169864E+0	3.999970E-2	2.235845E+1						
6.000010E-1	4.298131E+0	1.999945E-2	2.253774E+1						
6.200009E-1	3.447719E+0	-1.409966E-7	2.271017E+1						
6.400015E-1	2.612272E+0	-2.000103E-2	2.281959E+1						
6.599988E-1	1.807292E+0	-4.000127E-2	2.290175E+1						
6.799994E-1	1.033733E+0	-5.999893E-2	2.305175E+1						
6.999996E-1	2.915841E-1	-7.999949E-2	2.321458E+1						
7.199992E-1	-4.108678E-1	-9.999909E-2	2.334806E+1						
		-1.200000E-1	2.349274E+1						
