time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,64.88,894.3,40.8,0.8697,18.674,16.241
0.1667,65.18,898.3,39.5,0.8721,18.856,16.443
0.3333,64.99,899.8,40.1,0.8723,19.022,16.594
0.5000,64.81,896.7,39.6,0.8678,18.688,16.218
0.6667,64.97,903.0,38.0,0.8667,18.970,16.440
0.8333,65.18,901.7,39.3,0.8657,19.152,16.580
1.0000,65.11,902.6,37.5,0.8722,18.739,16.343
1.1667,65.01,906.8,41.0,0.8671,18.988,16.465
1.3333,65.23,905.6,37.5,0.8670,18.901,16.388
1.5000,64.71,909.4,39.1,0.8690,18.885,16.411
1.6667,64.66,909.8,38.5,0.8701,19.043,16.568
1.8333,64.50,912.4,38.0,0.8643,19.107,16.515
2.0000,64.94,904.5,39.0,0.8645,18.878,16.319
2.1667,64.90,910.6,37.4,0.8676,18.734,16.255
2.3333,65.03,918.6,37.6,0.8640,19.135,16.533
2.5000,65.13,914.7,37.0,0.8660,18.957,16.417
2.6667,64.99,916.0,36.9,0.8645,18.927,16.362
2.8333,65.49,915.6,37.3,0.8623,19.205,16.560
3.0000,64.98,912.9,38.5,0.8670,18.812,16.309
3.1667,65.41,915.5,37.0,0.8649,19.133,16.548
3.3333,64.97,914.1,35.6,0.8673,18.760,16.272
3.5000,64.75,913.3,38.1,0.8638,18.975,16.391
3.6667,64.89,919.7,37.2,0.8636,18.969,16.382
3.8333,64.67,920.7,37.0,0.8673,18.734,16.248
4.0000,65.28,919.5,37.2,0.8634,18.879,16.301
4.1667,65.09,924.0,35.6,0.8618,19.038,16.406
4.3333,65.60,924.0,36.4,0.8601,19.027,16.366
4.5000,64.90,922.5,37.6,0.8638,19.094,16.494
4.6667,64.79,919.7,35.8,0.8632,18.721,16.160
4.8333,64.77,924.7,36.8,0.8658,18.943,16.400
5.0000,64.89,925.2,34.8,0.8591,19.163,16.463
5.1667,64.71,919.3,36.7,0.8623,18.851,16.255
5.3333,64.98,927.5,36.0,0.8644,18.862,16.305
5.5000,65.25,927.3,36.0,0.8590,19.168,16.466
5.6667,65.08,929.2,37.6,0.8621,19.307,16.644
5.8333,65.08,929.7,36.7,0.8633,19.055,16.451
6.0000,65.07,926.9,37.2,0.8622,18.968,16.355
6.1667,65.28,930.9,38.6,0.8604,19.035,16.378
6.3333,64.96,928.2,37.0,0.8621,18.840,16.241
6.5000,64.77,935.6,36.5,0.8625,19.099,16.472
6.6667,64.80,928.4,37.4,0.8648,18.779,16.241
6.8333,64.80,926.8,37.7,0.8628,18.725,16.157
7.0000,65.33,928.8,37.4,0.8583,19.201,16.479
7.1667,64.74,928.7,37.2,0.8593,18.970,16.300
7.3333,64.68,926.0,37.1,0.8608,18.912,16.280
7.5000,64.44,934.9,37.7,0.8599,18.991,16.330
7.6667,64.85,934.9,38.2,0.8589,19.318,16.592
7.8333,64.80,928.2,38.5,0.8605,18.965,16.319
8.0000,64.70,938.7,37.8,0.8613,19.112,16.462
8.1667,65.10,932.4,37.7,0.8559,19.154,16.394
8.3333,64.81,937.5,36.8,0.8608,19.164,16.497
8.5000,65.12,936.5,39.9,0.8610,18.893,16.267
8.6667,65.36,933.5,37.7,0.8601,18.930,16.283
8.8333,65.14,929.9,37.6,0.8596,19.014,16.345
9.0000,65.25,941.5,38.4,0.8589,19.135,16.434
9.1667,65.16,943.6,38.0,0.8624,18.977,16.365
9.3333,65.23,943.0,39.1,0.8585,19.099,16.396
9.5000,65.14,937.7,39.4,0.8574,19.106,16.381
9.6667,64.66,940.5,38.2,0.8607,19.081,16.423
9.8333,65.22,937.7,39.5,0.8618,18.942,16.325
10.0000,65.10,938.7,39.9,0.8611,19.011,16.371
10.1667,65.14,936.7,39.9,0.8573,19.077,16.354
10.3333,64.84,937.5,41.4,0.8604,19.119,16.451
10.5000,65.34,942.6,40.2,0.8580,19.146,16.428
10.6667,65.12,936.9,40.3,0.8563,19.099,16.355
10.8333,64.64,943.6,42.7,0.8575,19.040,16.327
11.0000,65.17,940.6,40.1,0.8559,19.013,16.274
11.1667,64.85,936.7,41.3,0.8564,19.160,16.408
11.3333,65.31,938.4,41.6,0.8540,19.048,16.267
11.5000,64.62,937.1,42.5,0.8575,18.944,16.244
11.6667,65.01,941.7,40.8,0.8559,19.132,16.376
11.8333,65.25,941.5,41.6,0.8561,19.036,16.298
12.0000,65.31,940.0,43.9,0.8598,19.022,16.354
12.1667,64.60,936.9,42.8,0.8574,18.952,16.250
12.3333,64.84,942.4,43.0,0.8590,19.020,16.338
12.5000,65.40,944.2,44.5,0.8575,19.190,16.456
12.6667,65.29,935.0,44.8,0.8568,18.779,16.090
12.8333,64.90,935.9,45.2,0.8504,19.091,16.235
13.0000,64.41,940.6,43.6,0.8592,19.107,16.417
13.1667,64.60,935.5,44.6,0.8556,18.992,16.249
13.3333,65.09,934.3,44.4,0.8528,18.978,16.186
13.5000,64.51,939.7,45.7,0.8558,19.029,16.286
13.6667,64.85,935.8,45.6,0.8548,18.888,16.146
13.8333,64.89,940.2,45.0,0.8564,18.813,16.112
14.0000,65.03,935.0,46.7,0.8528,19.049,16.244
14.1667,64.92,939.0,46.0,0.8556,18.907,16.177
14.3333,64.89,936.0,46.3,0.8612,18.777,16.170
14.5000,64.88,941.2,47.0,0.8547,18.944,16.192
14.6667,64.77,941.1,47.1,0.8542,19.110,16.323
14.8333,65.06,943.3,47.1,0.8548,19.116,16.340
15.0000,64.81,936.5,45.8,0.8554,18.929,16.192
15.1667,64.76,941.7,46.9,0.8548,19.025,16.262
15.3333,65.34,940.1,47.2,0.8531,18.852,16.083
