time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,65.24,894.3,39.4,0.8710,18.967,16.520
0.1667,65.15,898.3,40.0,0.8690,18.930,16.451
0.3333,65.19,899.8,39.4,0.8701,19.001,16.532
0.5000,64.77,896.7,38.7,0.8702,18.874,16.424
0.6667,64.90,903.0,39.0,0.8661,18.896,16.366
0.8333,64.88,901.7,39.4,0.8698,18.923,16.460
1.0000,65.22,902.6,39.0,0.8702,18.699,16.273
1.1667,65.33,906.8,38.6,0.8683,19.227,16.695
1.3333,65.23,905.6,39.0,0.8665,18.818,16.307
1.5000,65.02,909.4,37.5,0.8652,19.125,16.547
1.6667,64.96,909.8,37.2,0.8689,18.976,16.488
1.8333,65.22,912.4,36.6,0.8656,19.022,16.466
2.0000,64.82,904.5,37.7,0.8677,18.933,16.428
2.1667,65.27,910.6,37.4,0.8642,18.930,16.359
2.3333,65.07,918.6,37.6,0.8661,19.071,16.518
2.5000,64.95,914.7,37.8,0.8629,18.991,16.387
2.6667,64.83,916.0,37.3,0.8648,18.958,16.395
2.8333,65.06,915.6,38.5,0.8658,18.966,16.421
3.0000,64.79,912.9,37.0,0.8618,19.145,16.499
3.1667,64.90,915.5,38.1,0.8643,18.946,16.374
3.3333,65.32,914.1,36.8,0.8656,18.706,16.191
3.5000,64.27,913.3,36.1,0.8668,18.992,16.462
3.6667,65.15,919.7,36.4,0.8638,19.036,16.442
3.8333,65.07,920.7,35.8,0.8665,18.973,16.441
4.0000,65.17,919.5,37.3,0.8590,19.119,16.423
4.1667,65.18,924.0,36.8,0.8634,18.914,16.329
4.3333,65.37,924.0,38.1,0.8644,18.965,16.393
4.5000,64.70,922.5,36.2,0.8640,19.105,16.507
4.6667,65.37,919.7,35.9,0.8625,18.826,16.237
4.8333,65.14,924.7,35.8,0.8598,19.104,16.426
5.0000,64.99,925.2,36.1,0.8632,18.794,16.223
5.1667,65.16,919.3,35.6,0.8625,18.892,16.294
5.3333,65.19,927.5,36.4,0.8625,18.971,16.363
5.5000,64.62,927.3,37.1,0.8638,18.942,16.363
5.6667,64.62,929.2,36.7,0.8607,19.220,16.544
5.8333,64.41,929.7,36.7,0.8625,19.080,16.457
6.0000,65.18,926.9,36.7,0.8608,19.064,16.411
6.1667,65.54,930.9,37.4,0.8599,19.298,16.594
