## Header ##
[General info]
User	FDN
Device	AI14-1C
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:24:37
Note	SMU 1C

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.594097	14.863039	0.295653	8.321740	2.460344	4.67E+2	6.99E+2	27.86	2.46
RV	0.600000	16.248039	0.320669	9.262666	2.970249	3.30E+2	6.73E+2	30.47	2.97
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999942E-2	1.665224E+1	6.000003E-1	1.876745E-2						
-7.999846E-2	1.627166E+1	5.800004E-1	6.890881E-1						
-6.000078E-2	1.590511E+1	5.599997E-1	1.368561E+0						
-4.000048E-2	1.560026E+1	5.400014E-1	2.065182E+0						
-2.000084E-2	1.523279E+1	5.200008E-1	2.779986E+0						
1.436979E-6	1.486261E+1	5.000001E-1	3.500515E+0						
2.000141E-2	1.463231E+1	4.799995E-1	4.233166E+0						
3.999909E-2	1.426455E+1	4.599986E-1	4.980413E+0						
6.000005E-2	1.390798E+1	4.399992E-1	5.730891E+0						
8.000068E-2	1.354019E+1	4.199999E-1	6.490945E+0						
1.000010E-1	1.318772E+1	3.999996E-1	7.105424E+0						
1.200006E-1	1.279776E+1	3.800000E-1	7.664731E+0						
1.399999E-1	1.236132E+1	3.599990E-1	8.165614E+0						
1.599999E-1	1.191304E+1	3.399987E-1	8.694402E+0						
1.800002E-1	1.143376E+1	3.200000E-1	9.281555E+0						
2.000002E-1	1.093369E+1	3.000001E-1	9.806557E+0						
2.200012E-1	1.041971E+1	2.799998E-1	1.032829E+1						
2.399988E-1	9.892263E+0	2.599988E-1	1.083657E+1						
2.599991E-1	9.333535E+0	2.399992E-1	1.131873E+1						
2.800004E-1	8.765689E+0	2.200012E-1	1.182189E+1						
3.000004E-1	8.200623E+0	2.000002E-1	1.231598E+1						
3.200014E-1	7.649804E+0	1.799999E-1	1.275885E+1						
3.399997E-1	7.064988E+0	1.599989E-1	1.321848E+1						
3.599993E-1	6.467892E+0	1.399986E-1	1.366442E+1						
3.800003E-1	5.873048E+0	1.200006E-1	1.408471E+1						
4.000009E-1	5.278902E+0	1.000013E-1	1.449513E+1						
4.200006E-1	4.689434E+0	7.999969E-2	1.492026E+1						
4.399983E-1	4.101718E+0	5.999972E-2	1.524428E+1						
4.600002E-1	3.526759E+0	3.999778E-2	1.556640E+1						
4.800002E-1	2.951367E+0	2.000108E-2	1.590529E+1						
5.000005E-1	2.383965E+0	-2.040854E-7	1.624808E+1						
5.200004E-1	1.839801E+0	-2.000051E-2	1.656896E+1						
5.400008E-1	1.320009E+0	-4.000048E-2	1.689028E+1						
5.599991E-1	8.142131E-1	-6.000078E-2	1.719766E+1						
5.800000E-1	3.283429E-1	-7.999912E-2	1.746868E+1						
6.000003E-1	-1.357686E-1	-9.999975E-2	1.770068E+1						
		-1.200004E-1	1.791461E+1						
