## Header ##
[General info]
User	FDN
Device	AI22-1C
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:33:42
Note	SMU 1C

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.533693	13.545694	0.212509	6.937397	1.474259	5.25E+2	4.67E+2	20.39	1.47
RV	0.496873	13.174032	0.215520	7.058232	1.521187	9.07E+2	1.71E+2	23.24	1.52
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999942E-2	1.557274E+1	5.400017E-1	-4.310363E-1						
-7.999813E-2	1.514697E+1	5.200008E-1	-2.529393E-1						
-6.000078E-2	1.476424E+1	5.000001E-1	-3.730069E-2						
-4.000015E-2	1.441094E+1	4.800002E-1	2.167604E-1						
-1.999919E-2	1.400214E+1	4.599989E-1	5.108702E-1						
4.523402E-7	1.354573E+1	4.399983E-1	8.462722E-1						
2.000141E-2	1.304044E+1	4.200002E-1	1.223148E+0						
3.999876E-2	1.247858E+1	4.000003E-1	1.644024E+0						
6.000005E-2	1.190647E+1	3.799993E-1	2.103368E+0						
8.000002E-2	1.128236E+1	3.599990E-1	2.601350E+0						
1.000010E-1	1.065292E+1	3.399990E-1	3.139644E+0						
1.200006E-1	1.001220E+1	3.200004E-1	3.709599E+0						
1.399993E-1	9.354246E+0	3.000007E-1	4.304922E+0						
1.599999E-1	8.676601E+0	2.800001E-1	4.929032E+0						
1.800006E-1	8.005933E+0	2.599998E-1	5.580690E+0						
2.000009E-1	7.345374E+0	2.399992E-1	6.247154E+0						
2.200008E-1	6.696187E+0	2.200005E-1	6.910734E+0						
2.399992E-1	6.068251E+0	2.000002E-1	7.570472E+0						
2.599998E-1	5.463167E+0	1.799992E-1	8.241825E+0						
2.800008E-1	4.879050E+0	1.599999E-1	8.899886E+0						
2.999994E-1	4.324939E+0	1.399983E-1	9.527994E+0						
3.200007E-1	3.800017E+0	1.200010E-1	1.013698E+1						
3.399987E-1	3.312384E+0	1.000000E-1	1.069657E+1						
3.599990E-1	2.860683E+0	7.999969E-2	1.125231E+1						
3.799996E-1	2.441397E+0	5.999939E-2	1.179192E+1						
4.000006E-1	2.052696E+0	3.999843E-2	1.227608E+1						
4.200012E-1	1.701819E+0	2.000108E-2	1.271944E+1						
4.399992E-1	1.388216E+0	1.241274E-7	1.317971E+1						
4.599999E-1	1.106178E+0	-1.999919E-2	1.358062E+1						
4.800012E-1	8.576600E-1	-3.999818E-2	2.252140E+1						
5.000005E-1	6.432700E-1	-6.000111E-2	2.890704E+1						
5.200014E-1	3.471615E-1	-7.999945E-2	2.954158E+1						
5.400008E-1	-1.833034E-1	-9.999942E-2	3.018459E+1						
		-1.199994E-1	3.081267E+1						
