## Header ##
[General info]
User	FDN
Device	AI22-1A
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:33:43
Note	SMU 1A

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.622685	17.166868	0.310837	10.520104	3.270038	4.41E+2	1.07E+3	30.59	3.27
RV	0.618923	21.816982	0.352776	13.368531	4.716104	4.82E+2	8.73E+2	34.93	4.72
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999909E-2	1.804654E+1	6.400005E-1	-4.407269E-1						
-7.999885E-2	1.785131E+1	6.200012E-1	-2.368888E-2						
-5.999860E-2	1.765598E+1	6.000013E-1	4.372790E-1						
-4.000095E-2	1.752880E+1	5.800001E-1	9.393747E-1						
-1.999974E-2	1.735661E+1	5.600005E-1	1.486852E+0						
-4.645780E-7	1.716692E+1	5.399993E-1	2.077209E+0						
2.000042E-2	1.694588E+1	5.199997E-1	2.697255E+0						
4.000002E-2	1.667564E+1	4.999991E-1	3.346331E+0						
6.000026E-2	1.643386E+1	4.799992E-1	4.023544E+0						
8.000115E-2	1.613334E+1	4.600003E-1	4.734206E+0						
1.000011E-1	1.584174E+1	4.400010E-1	8.080598E+0						
1.200007E-1	1.553874E+1	4.200001E-1	1.061651E+1						
1.399993E-1	1.519527E+1	4.000002E-1	1.143891E+1						
1.599992E-1	1.478179E+1	3.799986E-1	1.226399E+1						
1.800001E-1	1.433106E+1	3.599990E-1	1.308974E+1						
1.999997E-1	1.384515E+1	3.399994E-1	1.384896E+1						
2.199999E-1	1.331760E+1	3.199986E-1	1.457210E+1						
2.400005E-1	1.276492E+1	3.000009E-1	1.522514E+1						
2.600007E-1	1.217378E+1	2.800007E-1	1.586412E+1						
2.800013E-1	1.153718E+1	2.600004E-1	1.646630E+1						
3.000009E-1	1.088618E+1	2.400002E-1	1.701963E+1						
3.199986E-1	1.020964E+1	2.200003E-1	1.755762E+1						
3.399994E-1	9.546476E+0	2.000000E-1	1.810653E+1						
3.599994E-1	8.870860E+0	1.799995E-1	1.860707E+1						
3.799996E-1	8.158239E+0	1.599989E-1	1.912561E+1						
3.999999E-1	7.361967E+0	1.399993E-1	1.958413E+1						
4.200001E-1	6.584400E+0	1.200007E-1	1.996359E+1						
4.400010E-1	5.828462E+0	1.000007E-1	2.031625E+1						
4.600009E-1	5.081066E+0	8.000018E-2	2.063822E+1						
4.799989E-1	4.349232E+0	5.999994E-2	2.092463E+1						
4.999988E-1	3.643897E+0	3.999970E-2	2.122069E+1						
5.199990E-1	2.967342E+0	1.999913E-2	2.154239E+1						
5.399999E-1	2.316283E+0	-7.881594E-7	2.181723E+1						
5.600005E-1	1.700857E+0	-2.000103E-2	2.200784E+1						
5.800001E-1	1.118991E+0	-4.000160E-2	2.234137E+1						
6.000000E-1	5.749141E-1	-5.999893E-2	2.272124E+1						
6.200009E-1	6.517531E-2	-7.999917E-2	2.303259E+1						
6.400008E-1	-4.075836E-1	-9.999973E-2	2.321871E+1						
		-1.199993E-1	2.336072E+1						
