## Header ##
[General info]
User	FDN
Device	AI22-1A
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:34:28
Note	SMU 1A

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.875249	19.131578	0.545685	9.618320	5.248573	6.57E+2	9.92E+2	31.34	5.25
RV	0.879984	22.495005	0.421806	14.299713	6.031708	5.57E+2	9.31E+2	30.47	6.03
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999941E-2	1.990273E+1	8.799995E-1	-3.128177E-4						
-7.999949E-2	1.987156E+1	8.599996E-1	3.947301E-1						
-5.999925E-2	1.972051E+1	8.399981E-1	7.961254E-1						
-4.000160E-2	1.950302E+1	8.200011E-1	1.189602E+0						
-2.000071E-2	1.932528E+1	8.000002E-1	1.578021E+0						
-1.409966E-7	1.913186E+1	7.800002E-1	1.983790E+0						
1.999978E-2	1.887149E+1	7.599997E-1	2.419213E+0						
4.000034E-2	1.859165E+1	7.400001E-1	2.887090E+0						
5.999962E-2	1.837517E+1	7.200008E-1	3.417323E+0						
8.000050E-2	1.810764E+1	6.999986E-1	4.004436E+0						
1.000007E-1	1.782162E+1	6.799984E-1	4.648521E+0						
1.200013E-1	1.751396E+1	6.599994E-1	5.349767E+0						
1.399990E-1	1.719014E+1	6.400011E-1	6.064236E+0						
1.599995E-1	1.687512E+1	6.200012E-1	6.792821E+0						
1.800004E-1	1.655837E+1	6.000007E-1	7.549066E+0						
2.000000E-1	1.617771E+1	5.800001E-1	8.295658E+0						
2.200006E-1	1.577700E+1	5.599998E-1	9.067184E+0						
2.400005E-1	1.535656E+1	5.399996E-1	9.821530E+0						
2.600011E-1	1.492251E+1	5.199994E-1	1.058572E+1						
2.800013E-1	1.444314E+1	4.999994E-1	1.137163E+1						
3.000012E-1	1.393862E+1	4.799986E-1	1.214867E+1						
3.199992E-1	1.339534E+1	4.600009E-1	1.291927E+1						
3.399991E-1	1.282196E+1	4.400003E-1	1.365297E+1						
3.599997E-1	1.219319E+1	4.200007E-1	1.436162E+1						
3.799999E-1	1.149378E+1	3.999999E-1	1.501084E+1						
3.999995E-1	1.080770E+1	3.800003E-1	1.559841E+1						
4.200011E-1	1.007039E+1	3.599994E-1	1.610466E+1						
4.400003E-1	9.267329E+0	3.399991E-1	1.657707E+1						
4.600012E-1	8.436171E+0	3.199986E-1	1.701675E+1						
4.799986E-1	7.588436E+0	3.000019E-1	1.745751E+1						
4.999988E-1	6.717465E+0	2.800007E-1	1.788068E+1						
5.199997E-1	5.836667E+0	2.600001E-1	1.832253E+1						
5.400003E-1	9.390346E+0	2.399995E-1	1.876647E+1						
5.599998E-1	8.631661E+0	2.199999E-1	1.922378E+1						
5.800001E-1	7.863148E+0	2.000000E-1	1.963156E+1						
6.000010E-1	7.119287E+0	1.799995E-1	1.999322E+1						
6.200003E-1	6.427160E+0	1.599992E-1	2.027128E+1						
6.400005E-1	5.643819E+0	1.399990E-1	2.050864E+1						
6.599994E-1	4.944736E+0	1.200010E-1	2.086942E+1						
6.799997E-1	4.338741E+0	1.000001E-1	2.120163E+1						
6.999999E-1	3.778178E+0	8.000050E-2	2.146214E+1						
7.199989E-1	3.258315E+0	5.999994E-2	2.174807E+1						
7.400004E-1	2.758936E+0	3.999970E-2	2.204092E+1						
7.600007E-1	2.279770E+0	1.999945E-2	2.225769E+1						
7.800015E-1	1.809677E+0	-1.409966E-7	2.249480E+1						
8.000015E-1	1.368435E+0	-2.000071E-2	2.280039E+1						
8.200014E-1	9.585627E-1	-4.000127E-2	2.297820E+1						
8.399987E-1	5.754514E-1	-5.999957E-2	2.315700E+1						
8.599990E-1	2.327096E-1	-7.999917E-2	2.325929E+1						
8.799989E-1	-7.012966E-2	-9.999973E-2	2.331460E+1						
		-1.199990E-1	2.340042E+1						
