time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,23.41,605.7,57.4,0.9394,12.842,12.063
0.1667,24.49,635.8,56.6,0.9389,13.551,12.723
0.3333,25.50,661.5,53.4,0.9406,14.045,13.211
0.5000,27.95,761.7,52.6,0.9348,16.137,15.085
0.6667,27.38,723.2,52.1,0.9379,15.331,14.379
0.8333,29.84,798.6,48.1,0.9392,16.843,15.819
1.0000,28.62,750.9,49.4,0.9342,15.915,14.868
1.1667,30.99,836.2,47.4,0.9353,17.644,16.503
1.3333,30.12,793.6,47.5,0.9377,16.649,15.612
1.5000,31.46,833.7,44.7,0.9321,17.372,16.193
1.6667,31.60,840.7,45.7,0.9324,17.628,16.436
1.8333,33.78,905.3,43.4,0.9273,19.051,17.667
2.0000,33.83,898.0,42.3,0.9265,19.150,17.742
2.1667,33.54,886.8,41.1,0.9276,18.698,17.345
2.3333,34.61,908.9,39.0,0.9270,18.962,17.578
2.5000,34.37,920.4,39.2,0.9274,19.403,17.994
2.6667,34.36,880.1,40.8,0.9261,18.482,17.117
2.8333,33.69,859.7,43.0,0.9287,18.001,16.718
3.0000,35.54,921.9,38.7,0.9227,19.287,17.795
3.1667,34.43,881.8,40.8,0.9270,18.401,17.057
3.3333,35.95,933.4,38.0,0.9274,19.458,18.045
3.5000,35.67,913.5,38.5,0.9244,19.105,17.661
3.6667,35.14,888.6,38.5,0.9228,18.597,17.162
3.8333,34.18,836.4,41.7,0.9222,17.685,16.310
4.0000,35.45,874.9,37.9,0.9214,18.308,16.870
4.1667,34.53,832.2,41.5,0.9227,17.452,16.102
4.3333,34.40,819.6,39.0,0.9232,17.186,15.866
4.5000,33.73,813.3,42.2,0.9301,16.785,15.612
4.6667,32.81,761.9,44.4,0.9270,15.775,14.623
4.8333,32.23,727.5,45.5,0.9231,15.381,14.199
5.0000,32.65,766.0,44.4,0.9263,16.120,14.932
5.1667,31.50,689.4,45.6,0.9245,14.456,13.364
5.3333,30.59,661.5,46.5,0.9259,13.877,12.849
5.5000,30.83,667.2,45.3,0.9243,14.074,13.008
5.6667,29.42,626.8,47.8,0.9268,13.226,12.258
5.8333,28.86,601.4,49.5,0.9268,12.630,11.705
6.0000,27.20,534.5,51.7,0.9222,11.364,10.480
6.1667,27.00,531.1,52.4,0.9258,11.143,10.316
6.3333,25.78,466.7,54.4,0.9253,9.803,9.071
6.5000,24.64,432.0,55.4,0.9240,9.113,8.420
6.6667,23.64,397.9,56.3,0.9227,8.498,7.841
6.8333,23.14,376.6,58.2,0.9217,8.073,7.441
7.0000,22.31,333.0,56.5,0.9187,7.134,6.555
7.1667,20.70,280.4,63.6,0.9205,6.059,5.578
7.3333,20.02,259.0,62.0,0.9175,5.589,5.128
7.5000,18.30,211.7,65.9,0.9191,4.582,4.211
7.6667,18.24,186.2,66.0,0.9165,4.013,3.678
7.8333,16.73,151.3,67.5,0.9156,3.259,2.984
8.0000,16.15,114.4,67.3,0.9044,2.524,2.283
8.1667,15.43,88.1,69.6,0.9024,1.963,1.771
8.3333,14.02,62.5,70.7,0.8980,1.394,1.252
8.5000,13.50,33.8,73.5,0.8822,0.764,0.674
8.6667,12.97,11.7,73.0,0.8567,0.276,0.236
8.8333,12.10,0.0,74.9,0.0000,0.000,0.000
9.0000,11.65,0.0,75.4,0.0000,0.000,0.000
9.1667,11.27,0.0,75.1,0.0000,0.000,0.000
9.3333,11.30,0.0,75.2,0.0000,0.000,0.000
9.5000,11.89,0.0,74.4,0.0000,0.000,0.000
9.6667,11.32,0.0,75.4,0.0000,0.000,0.000
9.8333,10.83,0.0,76.1,0.0000,0.000,0.000
10.0000,10.93,0.0,75.7,0.0000,0.000,0.000
10.1667,10.88,0.0,76.3,0.0000,0.000,0.000
10.3333,10.29,0.0,76.7,0.0000,0.000,0.000
10.5000,9.87,0.0,78.9,0.0000,0.000,0.000
10.6667,9.84,0.0,76.4,0.0000,0.000,0.000
10.8333,9.96,0.0,76.0,0.0000,0.000,0.000
11.0000,9.41,0.0,79.7,0.0000,0.000,0.000
11.1667,9.58,0.0,80.4,0.0000,0.000,0.000
11.3333,8.96,0.0,77.8,0.0000,0.000,0.000
11.5000,8.42,0.0,79.8,0.0000,0.000,0.000
11.6667,8.31,0.0,80.1,0.0000,0.000,0.000
11.8333,8.04,0.0,81.1,0.0000,0.000,0.000
12.0000,8.06,0.0,81.5,0.0000,0.000,0.000
12.1667,7.63,0.0,79.7,0.0000,0.000,0.000
12.3333,7.24,0.0,81.2,0.0000,0.000,0.000
12.5000,7.11,0.0,80.5,0.0000,0.000,0.000
12.6667,6.78,0.0,83.4,0.0000,0.000,0.000
12.8333,6.23,0.0,82.7,0.0000,0.000,0.000
13.0000,5.83,0.0,83.7,0.0000,0.000,0.000
13.1667,5.62,0.0,86.2,0.0000,0.000,0.000
13.3333,5.61,0.0,83.2,0.0000,0.000,0.000
13.5000,5.50,0.0,83.7,0.0000,0.000,0.000
13.6667,4.91,0.0,86.6,0.0000,0.000,0.000
13.8333,5.21,0.0,83.6,0.0000,0.000,0.000
14.0000,4.57,0.0,85.3,0.0000,0.000,0.000
14.1667,4.63,0.0,85.7,0.0000,0.000,0.000
14.3333,4.42,0.0,87.0,0.0000,0.000,0.000
14.5000,3.89,0.0,86.0,0.0000,0.000,0.000
14.6667,4.43,0.0,85.8,0.0000,0.000,0.000
14.8333,3.77,0.0,87.9,0.0000,0.000,0.000
15.0000,4.02,0.0,87.4,0.0000,0.000,0.000
15.1667,3.82,0.0,86.5,0.0000,0.000,0.000
15.3333,3.26,0.0,85.8,0.0000,0.000,0.000
15.5000,2.88,0.0,90.5,0.0000,0.000,0.000
15.6667,2.59,0.0,88.0,0.0000,0.000,0.000
