time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,5.45,904.7,50.0,0.9857,19.080,18.807
0.1667,8.90,901.9,49.8,0.9791,19.065,18.667
0.3333,11.45,899.5,50.2,0.9754,18.848,18.384
0.5000,14.81,902.3,49.4,0.9660,18.909,18.266
0.6667,18.94,902.8,49.4,0.9670,18.728,18.110
0.8333,21.56,899.9,50.3,0.9519,19.092,18.175
1.0000,25.44,903.4,49.9,0.9429,19.106,18.015
1.1667,28.52,902.3,49.5,0.9396,18.929,17.785
1.3333,31.78,911.7,48.8,0.9348,19.083,17.839
1.5000,34.95,907.3,50.4,0.9256,18.999,17.585
1.6667,38.37,904.2,50.8,0.9227,18.955,17.489
1.8333,41.74,910.2,50.1,0.9131,19.200,17.532
2.0000,45.37,915.0,50.5,0.9072,19.088,17.317
2.1667,48.11,909.2,51.5,0.9011,18.964,17.089
2.3333,51.21,913.9,49.7,0.8952,19.196,17.184
2.5000,55.15,911.1,50.4,0.8918,19.045,16.985
2.6667,58.04,909.1,51.2,0.8799,19.062,16.773
2.8333,61.30,913.2,50.0,0.8737,19.221,16.793
3.0000,64.80,916.9,50.0,0.8664,19.201,16.636
3.1667,61.96,907.7,50.0,0.8753,18.902,16.545
3.3333,58.47,919.0,49.5,0.8811,19.118,16.845
3.5000,55.13,916.7,49.5,0.8869,18.961,16.816
3.6667,51.62,914.8,49.7,0.8917,19.018,16.959
3.8333,48.34,919.4,49.6,0.8961,19.129,17.142
4.0000,45.49,921.9,50.0,0.9044,19.226,17.388
4.1667,41.13,916.0,49.9,0.9098,19.228,17.494
4.3333,38.35,920.3,49.7,0.9135,19.116,17.463
4.5000,35.34,920.1,50.0,0.9251,19.060,17.632
4.6667,31.31,920.3,49.6,0.9268,19.214,17.808
4.8333,28.17,914.8,49.6,0.9375,18.992,17.805
5.0000,25.18,921.9,49.8,0.9415,19.029,17.915
5.1667,21.72,933.7,50.3,0.9491,19.324,18.341
5.3333,18.19,930.7,50.2,0.9529,19.135,18.234
5.5000,14.94,927.9,50.7,0.9599,19.204,18.433
5.6667,12.05,930.1,50.1,0.9655,19.067,18.410
5.8333,8.33,929.8,49.7,0.9696,19.392,18.803
6.0000,4.89,926.3,50.0,0.9760,19.208,18.748
6.1667,8.24,924.2,49.4,0.9727,19.197,18.672
6.3333,11.84,927.0,49.5,0.9673,19.192,18.564
6.5000,15.05,933.9,50.8,0.9599,19.555,18.771
6.6667,18.05,928.2,50.1,0.9532,19.117,18.221
6.8333,21.11,933.0,49.8,0.9486,19.217,18.230
7.0000,25.00,928.8,50.8,0.9438,19.091,18.019
7.1667,28.68,931.6,49.5,0.9353,19.272,18.025
7.3333,31.73,930.2,50.3,0.9266,19.134,17.730
7.5000,34.94,932.3,49.4,0.9219,19.372,17.859
7.6667,38.56,936.2,50.8,0.9140,19.536,17.856
7.8333,41.29,933.7,50.2,0.9105,19.445,17.704
8.0000,45.46,933.7,49.8,0.9008,19.452,17.522
8.1667,47.69,930.2,50.2,0.8964,19.344,17.340
8.3333,51.18,936.8,50.1,0.8900,19.316,17.191
8.5000,54.98,937.2,50.7,0.8827,19.198,16.946
8.6667,58.75,941.5,49.7,0.8740,19.378,16.936
8.8333,61.70,937.8,50.7,0.8662,19.408,16.811
9.0000,65.05,934.0,50.5,0.8617,19.404,16.721
9.1667,61.79,936.3,49.4,0.8700,19.281,16.774
9.3333,58.28,936.3,49.9,0.8755,19.213,16.822
9.5000,54.99,938.9,50.0,0.8800,19.345,17.023
9.6667,51.23,935.7,49.7,0.8910,19.182,17.090
9.8333,48.24,940.5,50.5,0.8931,19.549,17.459
10.0000,44.77,935.0,49.8,0.8959,19.228,17.226
10.1667,41.34,935.0,49.4,0.9046,19.159,17.331
10.3333,38.69,937.1,50.3,0.9112,19.231,17.524
10.5000,34.96,935.3,49.8,0.9183,19.173,17.606
10.6667,31.95,936.1,49.4,0.9240,19.289,17.823
10.8333,28.31,938.6,50.1,0.9320,19.243,17.935
11.0000,24.67,937.4,50.3,0.9396,19.175,18.017
11.1667,22.08,945.1,50.2,0.9405,19.596,18.430
11.3333,18.18,945.4,50.7,0.9504,19.371,18.410
11.5000,14.97,940.4,50.1,0.9547,19.311,18.435
11.6667,11.83,943.5,50.8,0.9614,19.482,18.729
11.8333,7.79,944.9,49.0,0.9689,19.280,18.681
12.0000,5.14,941.5,50.6,0.9751,19.331,18.850
12.1667,8.38,938.4,50.7,0.9673,19.315,18.684
12.3333,11.92,941.2,50.1,0.9614,19.173,18.432
12.5000,14.95,941.1,49.9,0.9550,19.292,18.424
12.6667,18.75,943.5,50.0,0.9470,19.320,18.297
12.8333,21.78,937.3,49.9,0.9411,19.231,18.099
13.0000,24.80,940.1,50.0,0.9391,19.277,18.103
13.1667,28.18,940.4,49.9,0.9328,19.251,17.958
13.3333,31.50,944.2,50.7,0.9212,19.431,17.901
13.5000,34.76,936.5,50.0,0.9161,19.102,17.499
13.6667,38.17,939.2,49.9,0.9102,19.253,17.525
13.8333,41.43,937.5,49.6,0.9049,19.212,17.385
14.0000,44.67,938.5,50.4,0.8999,19.156,17.238
14.1667,47.59,935.0,49.8,0.8938,19.151,17.118
14.3333,52.37,938.7,50.1,0.8848,19.174,16.964
14.5000,54.98,943.0,49.8,0.8828,19.285,17.025
14.6667,58.46,938.0,50.3,0.8714,19.376,16.885
14.8333,61.64,938.6,49.7,0.8628,19.174,16.543
15.0000,64.66,935.8,48.4,0.8603,19.128,16.455
15.1667,61.66,932.2,50.0,0.8658,18.952,16.409
15.3333,57.97,934.1,50.2,0.8689,19.243,16.721
15.5000,54.74,937.4,49.7,0.8805,19.160,16.870
15.6667,51.55,934.1,49.1,0.8863,18.928,16.776
15.8333,48.12,935.9,50.1,0.8874,19.255,17.086
16.0000,45.48,935.1,50.5,0.8947,19.106,17.095
16.1667,41.12,935.4,49.7,0.9077,18.988,17.236
16.3333,37.98,935.6,50.6,0.9103,18.940,17.242
16.5000,35.22,936.2,49.9,0.9184,18.942,17.396
16.6667,31.74,937.0,50.9,0.9200,19.257,17.716
16.8333,28.00,934.7,49.7,0.9312,19.017,17.708
17.0000,24.86,931.1,49.6,0.9327,18.855,17.587
17.1667,21.34,929.0,49.9,0.9402,19.066,17.927
17.3333,18.10,936.0,50.6,0.9484,19.114,18.127
17.5000,15.07,931.5,50.3,0.9484,19.158,18.169
17.6667,11.57,933.1,50.0,0.9632,18.988,18.288
17.8333,7.97,930.3,49.8,0.9693,18.940,18.358
18.0000,5.26,931.8,50.2,0.9755,18.858,18.395
18.1667,8.02,931.0,50.7,0.9635,19.104,18.407
18.3333,12.10,933.3,50.0,0.9570,19.117,18.294
18.5000,15.18,927.9,49.9,0.9507,19.020,18.081
18.6667,18.13,926.6,50.4,0.9513,18.851,17.933
18.8333,21.88,931.1,49.6,0.9407,18.920,17.799
19.0000,24.84,927.8,50.6,0.9324,18.944,17.663
19.1667,28.14,928.4,49.9,0.9274,18.934,17.558
19.3333,31.62,931.4,49.5,0.9186,19.020,17.472
19.5000,35.15,925.9,50.5,0.9141,18.994,17.362
19.6667,38.23,924.4,50.4,0.9128,18.757,17.122
19.8333,41.90,923.2,50.0,0.9034,18.697,16.892
20.0000,45.25,930.9,50.0,0.8982,18.853,16.934
20.1667,48.21,923.3,50.5,0.8881,18.861,16.750
20.3333,51.42,926.4,50.3,0.8824,18.820,16.607
20.5000,54.59,922.8,49.6,0.8773,18.779,16.475
20.6667,57.89,919.8,49.6,0.8687,18.683,16.229
20.8333,61.39,918.5,49.9,0.8630,18.560,16.018
21.0000,64.38,916.7,50.6,0.8558,18.831,16.115
21.1667,61.93,919.4,50.7,0.8652,18.488,15.995
21.3333,58.26,922.8,49.3,0.8705,18.622,16.210
21.5000,55.00,912.1,49.8,0.8738,18.624,16.273
