time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,25.66,905.0,39.4,0.9490,18.917,17.952
0.1667,25.54,902.1,39.4,0.9466,19.081,18.062
0.3333,26.01,897.5,40.6,0.9468,18.815,17.814
0.5000,26.02,902.4,38.1,0.9460,19.001,17.975
0.6667,25.83,902.0,36.7,0.9439,19.046,17.978
0.8333,25.54,907.8,40.1,0.9450,19.192,18.136
1.0000,23.60,0.0,39.0,0.0000,0.000,0.000
1.1667,23.20,0.0,39.1,0.0000,0.000,0.000
1.3333,23.04,0.0,37.1,0.0000,0.000,0.000
1.5000,23.66,0.0,38.7,0.0000,0.000,0.000
1.6667,23.54,0.0,38.5,0.0000,0.000,0.000
1.8333,23.68,0.0,37.7,0.0000,0.000,0.000
2.0000,26.77,907.0,38.5,0.9439,19.014,17.948
2.1667,26.42,906.9,37.1,0.9416,19.129,18.011
2.3333,26.46,910.5,37.8,0.9432,18.925,17.849
2.5000,26.33,913.0,37.1,0.9414,19.121,18.001
2.6667,26.53,916.1,37.1,0.9462,19.227,18.192
2.8333,26.77,916.2,37.4,0.9383,19.313,18.121
3.0000,23.72,0.0,38.8,0.0000,0.000,0.000
3.1667,23.81,0.0,35.8,0.0000,0.000,0.000
3.3333,23.68,0.0,35.8,0.0000,0.000,0.000
3.5000,23.89,0.0,37.3,0.0000,0.000,0.000
3.6667,23.91,0.0,36.6,0.0000,0.000,0.000
3.8333,23.91,0.0,37.2,0.0000,0.000,0.000
4.0000,26.59,917.4,36.7,0.9464,19.150,18.124
4.1667,26.61,918.1,36.4,0.9455,19.289,18.238
4.3333,26.69,925.2,35.7,0.9434,19.438,18.337
4.5000,26.65,918.8,36.3,0.9435,19.281,18.192
4.6667,27.00,919.4,36.0,0.9438,19.215,18.135
4.8333,26.67,922.0,37.7,0.9439,19.311,18.228
5.0000,24.23,0.0,35.9,0.0000,0.000,0.000
5.1667,23.59,0.0,36.6,0.0000,0.000,0.000
5.3333,23.99,0.0,35.8,0.0000,0.000,0.000
5.5000,23.72,0.0,38.1,0.0000,0.000,0.000
5.6667,23.83,0.0,35.4,0.0000,0.000,0.000
5.8333,24.06,0.0,36.9,0.0000,0.000,0.000
6.0000,26.82,920.8,35.8,0.9421,19.314,18.196
6.1667,26.39,924.9,36.1,0.9408,19.479,18.326
6.3333,26.91,926.8,35.9,0.9390,19.416,18.231
6.5000,26.30,931.5,36.3,0.9424,19.425,18.306
6.6667,26.74,932.8,37.9,0.9444,19.369,18.293
6.8333,27.06,929.4,38.0,0.9403,19.476,18.314
7.0000,24.08,0.0,35.6,0.0000,0.000,0.000
7.1667,23.95,0.0,36.6,0.0000,0.000,0.000
7.3333,23.62,0.0,36.6,0.0000,0.000,0.000
7.5000,24.08,0.0,35.9,0.0000,0.000,0.000
7.6667,24.12,0.0,37.0,0.0000,0.000,0.000
7.8333,23.84,0.0,37.8,0.0000,0.000,0.000
8.0000,26.39,926.9,38.9,0.9428,19.330,18.224
8.1667,26.90,936.5,37.4,0.9424,19.625,18.495
8.3333,26.86,929.9,37.5,0.9370,19.520,18.291
8.5000,26.78,939.3,38.0,0.9434,19.717,18.602
8.6667,26.49,934.4,39.3,0.9398,19.459,18.288
8.8333,26.54,936.5,36.8,0.9412,19.518,18.370
9.0000,23.54,0.0,39.0,0.0000,0.000,0.000
9.1667,23.99,0.0,39.8,0.0000,0.000,0.000
9.3333,23.57,0.0,39.8,0.0000,0.000,0.000
9.5000,23.25,0.0,39.1,0.0000,0.000,0.000
9.6667,23.40,0.0,38.2,0.0000,0.000,0.000
9.8333,23.69,0.0,38.6,0.0000,0.000,0.000
10.0000,26.50,936.2,40.7,0.9430,19.513,18.401
10.1667,26.15,938.8,40.3,0.9423,19.628,18.495
10.3333,26.41,939.6,38.8,0.9426,19.577,18.452
10.5000,26.43,940.6,40.3,0.9446,19.655,18.566
10.6667,26.02,940.1,41.8,0.9434,19.407,18.309
10.8333,25.95,940.3,41.5,0.9428,19.536,18.418
11.0000,23.26,0.0,41.6,0.0000,0.000,0.000
11.1667,23.33,0.0,41.8,0.0000,0.000,0.000
11.3333,23.51,0.0,42.3,0.0000,0.000,0.000
11.5000,23.00,0.0,41.5,0.0000,0.000,0.000
11.6667,22.83,0.0,44.2,0.0000,0.000,0.000
11.8333,22.55,0.0,42.3,0.0000,0.000,0.000
12.0000,25.72,941.1,42.7,0.9379,19.604,18.386
12.1667,25.70,937.7,43.0,0.9430,19.240,18.143
12.3333,25.67,941.6,42.7,0.9386,19.628,18.423
12.5000,25.74,941.1,43.7,0.9417,19.475,18.340
12.6667,25.25,937.9,44.1,0.9414,19.426,18.287
12.8333,25.60,935.9,44.1,0.9424,19.509,18.386
13.0000,22.95,0.0,44.1,0.0000,0.000,0.000
13.1667,22.14,0.0,44.6,0.0000,0.000,0.000
13.3333,22.97,0.0,45.0,0.0000,0.000,0.000
13.5000,22.70,0.0,45.8,0.0000,0.000,0.000
13.6667,22.56,0.0,46.4,0.0000,0.000,0.000
13.8333,22.70,0.0,46.0,0.0000,0.000,0.000
14.0000,25.24,940.4,44.4,0.9443,19.377,18.298
14.1667,25.23,940.6,46.1,0.9410,19.337,18.197
14.3333,25.56,938.7,44.7,0.9398,19.495,18.322
14.5000,25.46,936.5,46.5,0.9429,19.461,18.349
14.6667,25.38,937.5,46.4,0.9406,19.484,18.326
14.8333,25.19,933.5,48.0,0.9401,19.295,18.139
15.0000,22.11,0.0,46.1,0.0000,0.000,0.000
15.1667,22.39,0.0,46.2,0.0000,0.000,0.000
