time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,25.70,905.0,39.5,0.9444,19.288,18.216
0.1667,25.86,902.1,40.3,0.9416,19.135,18.017
0.3333,25.53,897.5,40.8,0.9417,18.928,17.825
0.5000,26.02,902.4,39.6,0.9471,18.891,17.891
0.6667,26.20,902.0,38.8,0.9453,18.955,17.918
0.8333,26.07,907.8,39.4,0.9463,19.203,18.171
1.0000,22.92,0.0,37.3,0.0000,0.000,0.000
1.1667,23.14,0.0,39.1,0.0000,0.000,0.000
1.3333,23.33,0.0,37.7,0.0000,0.000,0.000
1.5000,23.69,0.0,37.6,0.0000,0.000,0.000
1.6667,23.60,0.0,38.7,0.0000,0.000,0.000
1.8333,23.37,0.0,38.7,0.0000,0.000,0.000
2.0000,26.09,912.5,36.7,0.9470,19.131,18.118
2.1667,26.08,917.2,35.1,0.9465,19.219,18.190
2.3333,26.28,912.3,38.8,0.9434,19.424,18.325
2.5000,26.43,913.9,38.2,0.9420,19.257,18.141
2.6667,26.61,910.2,36.4,0.9444,19.235,18.165
2.8333,26.61,916.1,37.6,0.9412,19.138,18.014
3.0000,23.69,0.0,36.0,0.0000,0.000,0.000
3.1667,23.69,0.0,36.7,0.0000,0.000,0.000
3.3333,23.92,0.0,38.3,0.0000,0.000,0.000
3.5000,24.04,0.0,36.0,0.0000,0.000,0.000
3.6667,23.81,0.0,38.8,0.0000,0.000,0.000
3.8333,24.16,0.0,36.0,0.0000,0.000,0.000
4.0000,26.26,916.5,36.1,0.9427,19.342,18.233
4.1667,26.45,920.4,36.0,0.9449,19.360,18.293
4.3333,26.75,922.9,37.7,0.9415,19.404,18.269
4.5000,26.41,929.2,35.8,0.9414,19.364,18.229
4.6667,26.75,922.9,35.7,0.9447,19.207,18.145
4.8333,26.82,920.9,36.2,0.9444,19.304,18.231
5.0000,24.26,0.0,36.5,0.0000,0.000,0.000
5.1667,24.11,0.0,35.1,0.0000,0.000,0.000
5.3333,23.74,0.0,35.9,0.0000,0.000,0.000
5.5000,23.92,0.0,34.8,0.0000,0.000,0.000
5.6667,24.02,0.0,36.6,0.0000,0.000,0.000
5.8333,23.99,0.0,36.7,0.0000,0.000,0.000
6.0000,27.11,924.3,37.2,0.9367,19.459,18.227
6.1667,26.74,928.1,36.8,0.9397,19.652,18.467
6.3333,27.02,928.8,37.7,0.9399,19.318,18.157
6.5000,26.32,930.7,36.9,0.9440,19.284,18.203
6.6667,27.09,934.5,36.7,0.9430,19.308,18.207
6.8333,26.77,932.6,38.5,0.9407,19.618,18.456
7.0000,23.81,0.0,36.8,0.0000,0.000,0.000
7.1667,23.95,0.0,36.8,0.0000,0.000,0.000
7.3333,24.07,0.0,36.6,0.0000,0.000,0.000
7.5000,23.90,0.0,37.6,0.0000,0.000,0.000
7.6667,23.91,0.0,37.5,0.0000,0.000,0.000
7.8333,24.19,0.0,36.0,0.0000,0.000,0.000
8.0000,26.85,929.9,39.4,0.9367,19.292,18.071
8.1667,26.15,935.4,37.1,0.9416,19.624,18.478
8.3333,26.65,937.0,37.4,0.9381,19.472,18.267
8.5000,26.37,932.8,37.3,0.9408,19.625,18.463
8.6667,26.90,940.9,39.2,0.9401,19.609,18.434
8.8333,26.49,933.9,39.1,0.9441,19.444,18.357
9.0000,23.45,0.0,39.8,0.0000,0.000,0.000
9.1667,23.80,0.0,38.6,0.0000,0.000,0.000
9.3333,23.87,0.0,39.0,0.0000,0.000,0.000
9.5000,23.54,0.0,37.8,0.0000,0.000,0.000
9.6667,23.47,0.0,40.2,0.0000,0.000,0.000
9.8333,23.92,0.0,40.3,0.0000,0.000,0.000
10.0000,26.22,943.7,40.6,0.9389,19.665,18.463
10.1667,25.89,936.0,41.6,0.9433,19.556,18.446
10.3333,26.33,935.4,39.2,0.9415,19.427,18.291
10.5000,26.24,942.3,40.0,0.9416,19.589,18.446
10.6667,26.07,944.4,40.4,0.9431,19.577,18.462
10.8333,26.09,939.4,42.2,0.9427,19.545,18.425
11.0000,23.19,0.0,41.2,0.0000,0.000,0.000
11.1667,23.45,0.0,41.0,0.0000,0.000,0.000
11.3333,23.40,0.0,42.9,0.0000,0.000,0.000
11.5000,23.14,0.0,42.1,0.0000,0.000,0.000
11.6667,23.07,0.0,41.8,0.0000,0.000,0.000
11.8333,23.12,0.0,42.1,0.0000,0.000,0.000
12.0000,25.89,940.9,42.9,0.9397,19.438,18.267
12.1667,25.63,941.1,42.8,0.9420,19.597,18.460
12.3333,25.65,939.5,43.3,0.9443,19.551,18.463
12.5000,25.23,943.5,43.2,0.9424,19.870,18.727
12.6667,25.44,944.8,45.7,0.9392,19.639,18.445
12.8333,25.36,934.6,44.8,0.9453,19.296,18.240
13.0000,23.09,0.0,44.0,0.0000,0.000,0.000
13.1667,22.57,0.0,44.3,0.0000,0.000,0.000
13.3333,22.28,0.0,43.2,0.0000,0.000,0.000
13.5000,22.68,0.0,44.9,0.0000,0.000,0.000
13.6667,22.49,0.0,46.3,0.0000,0.000,0.000
