time (h),temperature (°C),relative_humidity (%)
0.0000,64.80,84.4
0.1667,65.18,84.7
0.3333,64.86,84.3
0.5000,65.42,84.6
0.6667,64.96,84.8
0.8333,64.95,85.9
1.0000,64.86,85.4
1.1667,65.26,85.1
1.3333,64.94,85.4
1.5000,65.05,84.9
1.6667,65.04,84.9
1.8333,64.85,85.1
2.0000,65.66,85.0
2.1667,65.27,85.1
2.3333,64.95,83.5
2.5000,64.55,85.6
2.6667,65.19,85.0
2.8333,65.47,85.1
3.0000,64.39,84.5
3.1667,65.59,85.4
3.3333,64.42,84.6
3.5000,64.71,84.3
3.6667,65.28,84.6
3.8333,65.24,84.3
4.0000,64.58,85.1
4.1667,64.50,85.2
4.3333,64.76,84.4
4.5000,65.45,84.7
4.6667,64.99,85.1
4.8333,65.64,84.9
5.0000,65.11,85.4
5.1667,65.31,85.0
5.3333,65.02,84.1
5.5000,64.84,84.6
5.6667,65.21,84.7
5.8333,65.38,85.0
6.0000,64.92,85.6
6.1667,64.83,84.8
6.3333,64.84,84.2
6.5000,65.00,85.0
6.6667,64.80,84.3
6.8333,65.12,84.6
7.0000,65.53,84.5
7.1667,64.65,84.1
7.3333,65.17,84.7
7.5000,65.17,84.3
7.6667,64.98,84.9
7.8333,64.97,85.2
8.0000,65.03,84.9
8.1667,64.95,85.7
8.3333,65.49,84.1
8.5000,64.90,84.9
8.6667,65.36,85.1
8.8333,64.84,85.4
9.0000,64.61,84.0
9.1667,64.49,84.6
9.3333,64.90,85.3
9.5000,65.24,85.4
9.6667,64.90,85.4
9.8333,65.13,84.2
10.0000,64.90,85.0
10.1667,65.36,84.5
10.3333,64.78,84.5
10.5000,65.12,85.1
10.6667,65.15,85.9
10.8333,65.00,84.8
11.0000,65.04,85.1
11.1667,65.35,86.2
11.3333,65.04,84.9
11.5000,64.74,85.5
11.6667,64.70,84.9
11.8333,65.20,83.8
12.0000,64.99,83.8
12.1667,64.68,85.2
12.3333,65.12,85.5
12.5000,65.48,85.0
12.6667,65.46,86.1
12.8333,64.89,85.6
13.0000,64.93,84.3
13.1667,64.78,84.4
13.3333,64.83,85.2
13.5000,64.42,84.6
13.6667,64.95,85.0
13.8333,64.45,84.8
14.0000,64.20,85.2
14.1667,64.64,86.1
14.3333,65.01,85.2
14.5000,64.56,86.1
14.6667,64.86,85.0
14.8333,65.43,84.5
15.0000,64.92,83.7
15.1667,65.06,84.8
15.3333,64.44,85.4
15.5000,65.16,85.5
15.6667,64.76,84.5
15.8333,64.98,85.0
16.0000,65.34,85.5
16.1667,65.20,85.4
16.3333,65.36,84.7
16.5000,64.94,84.4
16.6667,65.16,84.8
16.8333,64.87,84.6
17.0000,65.41,83.4
17.1667,65.31,84.6
17.3333,64.64,84.6
17.5000,65.07,85.2
17.6667,64.95,85.6
17.8333,65.23,84.1
18.0000,65.15,84.4
18.1667,64.89,84.7
18.3333,65.10,84.8
18.5000,64.59,84.9
18.6667,64.76,84.5
18.8333,65.38,84.9
19.0000,64.77,85.6
19.1667,64.99,85.1
19.3333,65.02,85.3
19.5000,65.10,84.6
19.6667,64.94,85.2
19.8333,65.40,85.1
20.0000,65.08,84.8
20.1667,64.94,85.6
20.3333,64.68,84.9
20.5000,65.18,85.2
20.6667,65.48,85.2
20.8333,65.34,84.7
21.0000,65.34,84.6
21.1667,65.13,84.9
21.3333,64.97,84.8
21.5000,64.70,85.0
21.6667,64.97,85.6
21.8333,65.22,85.3
22.0000,65.42,84.4
22.1667,65.28,85.0
22.3333,65.08,84.8
22.5000,65.44,85.0
22.6667,64.85,85.3
22.8333,64.82,84.9
23.0000,64.69,85.4
23.1667,64.62,84.5
23.3333,65.19,85.4
23.5000,65.12,85.1
23.6667,64.67,84.6
23.8333,65.03,85.0
24.0000,65.01,84.9
24.1667,64.69,85.6
24.3333,64.79,85.5
24.5000,65.06,84.4
24.6667,65.18,84.9
24.8333,64.91,84.9
25.0000,64.61,85.0
25.1667,64.97,85.7
25.3333,65.30,84.8
25.5000,65.39,84.6
25.6667,65.37,84.5
25.8333,64.65,84.5
26.0000,64.67,85.7
26.1667,64.93,85.0
26.3333,65.06,84.6
26.5000,65.09,85.2
26.6667,65.04,84.4
26.8333,64.78,84.2
27.0000,64.66,85.3
27.1667,65.16,85.4
27.3333,64.78,85.4
27.5000,64.69,84.5
27.6667,64.95,84.2
27.8333,64.78,84.4
28.0000,64.93,85.5
28.1667,65.60,85.2
28.3333,64.86,86.0
28.5000,64.99,85.5
28.6667,64.80,84.7
28.8333,64.71,84.9
29.0000,64.92,84.8
29.1667,64.89,85.5
29.3333,64.90,85.7
29.5000,65.08,84.5
29.6667,64.97,85.5
29.8333,65.02,85.6
30.0000,64.71,84.3
30.1667,65.48,85.0
30.3333,65.02,85.1
30.5000,65.46,85.9
30.6667,65.49,85.3
30.8333,65.21,84.9
31.0000,64.80,84.8
31.1667,64.73,84.9
31.3333,64.87,85.3
31.5000,65.06,85.4
31.6667,64.75,85.3
31.8333,65.47,85.1
32.0000,64.67,85.5
32.1667,64.64,85.4
32.3333,64.91,84.7
32.5000,64.56,84.7
32.6667,64.87,84.8
32.8333,65.06,85.0
33.0000,65.34,84.9
33.1667,64.69,84.8
33.3333,64.73,84.5
33.5000,64.93,85.3
33.6667,65.13,84.9
33.8333,65.12,85.2
34.0000,64.82,84.6
34.1667,64.67,84.7
34.3333,64.84,84.1
34.5000,65.32,84.8
34.6667,65.12,85.0
34.8333,64.73,84.1
35.0000,64.80,84.8
35.1667,65.05,84.7
35.3333,65.10,85.2
35.5000,65.45,84.2
35.6667,64.93,85.2
35.8333,64.85,84.9
36.0000,64.46,85.1
36.1667,65.07,85.3
36.3333,65.32,85.7
36.5000,64.96,85.2
36.6667,64.89,85.0
36.8333,64.85,84.6
37.0000,64.75,85.0
37.1667,64.70,85.1
37.3333,64.88,85.8
37.5000,64.83,85.5
37.6667,65.03,84.3
37.8333,65.17,84.7
38.0000,65.02,84.9
38.1667,65.24,84.1
38.3333,64.70,85.1
38.5000,65.10,85.1
38.6667,65.24,84.2
38.8333,64.91,85.1
39.0000,64.92,85.7
39.1667,64.79,84.6
39.3333,65.07,85.2
39.5000,65.27,85.7
39.6667,64.66,85.3
39.8333,64.71,85.1
40.0000,65.11,84.6
40.1667,65.56,84.8
40.3333,65.21,84.9
40.5000,64.96,84.2
40.6667,64.89,85.3
40.8333,64.95,84.5
