time (h),temperature (°C),relative_humidity (%)
0.0000,64.91,38.6
0.1667,65.17,38.7
0.3333,65.56,38.5
0.5000,64.92,38.9
0.6667,64.60,37.6
0.8333,65.48,39.8
1.0000,65.27,38.2
1.1667,65.70,38.0
1.3333,65.13,37.6
1.5000,64.95,38.4
1.6667,65.24,39.1
1.8333,65.25,38.0
2.0000,64.95,36.9
2.1667,65.53,37.2
2.3333,64.47,37.6
2.5000,64.78,39.0
2.6667,64.30,36.3
2.8333,64.96,36.8
3.0000,65.32,36.6
3.1667,65.35,36.8
3.3333,65.26,38.4
3.5000,64.57,36.7
3.6667,64.24,36.0
3.8333,64.58,36.9
4.0000,65.22,36.0
4.1667,65.41,37.5
4.3333,65.12,36.5
4.5000,65.12,37.7
4.6667,65.11,36.4
4.8333,64.98,36.5
5.0000,65.56,34.5
5.1667,64.99,35.4
5.3333,64.72,38.0
5.5000,65.21,36.6
5.6667,65.13,37.1
5.8333,64.88,35.9
6.0000,65.47,35.9
6.1667,64.80,37.2
6.3333,65.04,36.6
6.5000,65.15,35.1
6.6667,65.23,36.5
6.8333,64.92,36.4
7.0000,64.82,38.3
7.1667,65.22,37.2
7.3333,64.92,38.0
7.5000,64.77,38.1
7.6667,64.76,37.9
7.8333,65.25,38.7
8.0000,65.48,37.4
8.1667,65.09,36.8
8.3333,65.02,37.4
8.5000,64.82,38.0
8.6667,64.53,40.1
8.8333,65.27,39.1
9.0000,65.07,38.9
9.1667,65.15,40.5
9.3333,65.07,40.6
9.5000,64.59,39.0
9.6667,64.86,39.0
9.8333,65.11,40.3
10.0000,65.12,41.5
10.1667,65.41,41.6
10.3333,65.30,41.4
10.5000,64.44,40.4
10.6667,65.24,40.9
10.8333,65.00,40.9
11.0000,64.86,41.6
11.1667,65.03,42.1
11.3333,65.47,41.7
11.5000,65.21,41.0
11.6667,65.42,41.4
11.8333,64.79,40.8
12.0000,64.90,44.1
12.1667,64.72,44.2
12.3333,64.85,43.3
12.5000,64.73,44.4
12.6667,64.84,43.9
12.8333,64.99,43.5
13.0000,65.13,44.0
13.1667,65.52,44.4
13.3333,64.90,45.2
13.5000,65.26,46.4
13.6667,65.09,45.2
13.8333,65.28,45.2
14.0000,65.03,45.9
14.1667,65.25,47.0
14.3333,65.18,46.5
14.5000,65.30,46.8
14.6667,64.61,45.5
14.8333,65.65,46.5
15.0000,65.62,47.8
15.1667,64.76,46.8
15.3333,64.52,44.3
15.5000,65.20,45.8
15.6667,65.28,48.0
15.8333,65.17,47.6
16.0000,65.08,47.6
16.1667,65.43,46.6
16.3333,64.86,47.4
16.5000,64.80,47.9
16.6667,64.84,48.1
16.8333,65.59,49.6
17.0000,64.75,47.6
17.1667,65.68,47.7
17.3333,64.44,48.0
17.5000,65.14,49.0
17.6667,65.43,48.7
17.8333,64.95,47.3
18.0000,64.75,47.9
18.1667,64.22,47.8
18.3333,64.40,46.1
18.5000,64.93,48.5
18.6667,65.09,49.4
18.8333,64.44,47.2
19.0000,64.96,48.7
19.1667,65.41,46.6
19.3333,65.34,46.3
19.5000,64.60,47.5
19.6667,64.85,47.6
19.8333,65.08,46.8
20.0000,64.95,46.9
20.1667,65.12,46.6
20.3333,64.73,47.1
20.5000,64.57,46.9
20.6667,65.15,47.5
20.8333,65.23,47.1
21.0000,64.56,45.4
21.1667,64.94,45.2
21.3333,64.81,47.2
21.5000,65.23,44.3
21.6667,64.76,45.7
21.8333,64.51,44.5
22.0000,65.37,45.5
22.1667,65.48,44.3
22.3333,65.08,44.6
22.5000,65.63,44.5
22.6667,65.07,44.9
22.8333,65.31,43.5
23.0000,65.30,44.4
23.1667,64.64,42.5
23.3333,65.05,42.5
23.5000,65.32,42.1
23.6667,64.65,42.5
23.8333,65.37,43.1
24.0000,65.42,43.0
24.1667,64.45,42.7
24.3333,65.15,42.3
24.5000,64.72,41.2
24.6667,65.35,41.2
24.8333,65.53,40.9
25.0000,64.72,41.9
25.1667,64.69,41.2
25.3333,64.48,40.0
25.5000,65.04,39.8
25.6667,65.33,38.0
25.8333,64.92,40.6
26.0000,65.14,40.6
26.1667,65.12,38.3
26.3333,65.45,39.4
26.5000,65.34,37.6
26.6667,65.30,35.9
26.8333,65.48,38.7
27.0000,65.38,39.1
27.1667,64.99,38.5
27.3333,65.24,38.4
27.5000,64.92,37.2
27.6667,64.65,37.2
27.8333,64.89,38.4
28.0000,65.19,35.8
28.1667,65.35,36.3
28.3333,65.21,37.2
28.5000,64.64,36.6
28.6667,65.02,37.2
28.8333,65.23,36.1
29.0000,65.39,35.6
29.1667,64.92,37.5
29.3333,64.94,37.1
29.5000,65.43,36.7
29.6667,65.04,36.4
29.8333,65.07,36.4
30.0000,65.00,35.0
30.1667,65.01,35.9
30.3333,64.88,36.1
30.5000,64.81,36.4
30.6667,64.74,37.9
30.8333,65.31,37.1
31.0000,64.60,37.5
31.1667,64.89,37.3
31.3333,64.73,36.5
31.5000,64.86,35.7
31.6667,65.07,36.3
31.8333,64.95,37.5
32.0000,65.26,36.2
32.1667,65.28,37.6
32.3333,65.27,36.8
32.5000,64.80,37.3
32.6667,65.54,36.6
32.8333,65.32,37.3
33.0000,65.12,36.6
33.1667,65.05,38.6
33.3333,64.98,38.1
33.5000,65.02,37.0
33.6667,64.97,37.5
33.8333,65.07,38.3
34.0000,65.11,38.7
34.1667,64.59,38.0
34.3333,65.21,39.0
34.5000,65.24,37.5
34.6667,65.09,37.7
34.8333,64.87,39.5
35.0000,64.89,39.4
35.1667,65.07,39.3
35.3333,65.41,39.2
35.5000,65.10,39.2
35.6667,65.01,40.0
35.8333,64.80,40.8
36.0000,64.97,39.3
36.1667,65.52,40.1
36.3333,64.39,39.8
36.5000,65.19,40.6
36.6667,64.70,40.1
36.8333,64.60,39.0
37.0000,64.49,39.6
37.1667,64.70,41.9
37.3333,64.80,41.2
37.5000,65.29,41.3
37.6667,65.18,41.7
37.8333,64.88,42.0
38.0000,65.18,41.8
38.1667,64.87,42.6
38.3333,64.78,42.3
38.5000,65.24,40.8
38.6667,64.84,42.5
38.8333,65.66,42.9
39.0000,65.19,42.4
39.1667,64.78,43.5
39.3333,65.53,42.7
39.5000,64.89,42.9
39.6667,65.17,43.7
39.8333,65.12,43.5
40.0000,64.91,43.3
40.1667,64.98,44.7
40.3333,65.06,43.7
40.5000,65.34,42.7
40.6667,64.59,44.3
40.8333,64.94,41.3
41.0000,64.96,43.0
41.1667,64.75,45.1
41.3333,64.88,44.2
41.5000,65.09,43.5
41.6667,64.82,44.6
41.8333,64.68,43.6
42.0000,64.45,44.8
42.1667,64.99,44.6
42.3333,64.87,44.5
42.5000,64.94,42.8
42.6667,65.18,43.0
42.8333,65.57,43.0
43.0000,65.09,42.2
43.1667,64.94,42.3
43.3333,65.07,42.9
43.5000,65.43,41.6
43.6667,64.62,43.1
43.8333,64.99,41.1
44.0000,65.01,42.5
44.1667,64.85,42.3
44.3333,65.12,41.8
44.5000,64.43,41.8
44.6667,65.03,43.2
44.8333,64.82,40.4
45.0000,65.26,41.1
45.1667,64.84,40.5
45.3333,65.45,40.6
45.5000,64.88,40.2
45.6667,64.99,39.5
45.8333,65.19,39.8
46.0000,64.31,38.0
