time (h),temperature (°C),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,64.56,38.9,0.9900,-1.137,-1.126
0.1667,64.68,38.9,0.9900,-1.135,-1.124
0.3333,64.66,40.5,0.9900,-1.133,-1.121
0.5000,64.88,40.2,0.9900,-1.137,-1.125
0.6667,64.44,38.5,0.9900,-1.137,-1.126
0.8333,65.35,38.7,0.9900,-1.139,-1.127
1.0000,64.79,38.8,0.9900,-1.135,-1.124
1.1667,64.80,38.8,0.9900,-1.138,-1.126
1.3333,64.69,39.5,0.9900,-1.137,-1.126
1.5000,65.07,39.7,0.9900,-1.139,-1.128
1.6667,65.37,37.3,0.9900,-1.138,-1.127
1.8333,65.00,36.4,0.9900,-1.139,-1.128
2.0000,64.65,39.2,0.9900,-1.140,-1.129
2.1667,64.81,38.5,0.9900,-1.139,-1.128
2.3333,65.01,35.6,0.9900,-1.135,-1.124
2.5000,65.60,38.7,0.9900,-1.137,-1.125
2.6667,64.61,36.8,0.9900,-1.140,-1.129
2.8333,64.86,38.2,0.9900,-1.139,-1.128
3.0000,64.82,37.0,0.9900,-1.138,-1.127
3.1667,64.94,37.5,0.9900,-1.135,-1.123
3.3333,65.55,37.1,0.9900,-1.139,-1.128
3.5000,64.97,38.9,0.9900,-1.135,-1.124
3.6667,64.74,35.9,0.9900,-1.139,-1.128
3.8333,65.09,35.7,0.9900,-1.137,-1.126
4.0000,64.77,36.1,0.9900,-1.136,-1.125
4.1667,65.36,35.8,0.9900,-1.133,-1.122
4.3333,64.99,38.5,0.9900,-1.138,-1.127
4.5000,65.47,34.8,0.9900,-1.140,-1.129
4.6667,65.00,37.1,0.9900,-1.135,-1.124
4.8333,65.03,36.9,0.9900,-1.139,-1.128
5.0000,64.27,36.3,0.9900,-1.141,-1.129
5.1667,64.62,37.4,0.9900,-1.139,-1.128
5.3333,65.59,35.5,0.9900,-1.140,-1.128
5.5000,65.06,37.1,0.9900,-1.142,-1.131
5.6667,65.24,35.6,0.9900,-1.138,-1.127
5.8333,64.77,35.7,0.9900,-1.141,-1.130
6.0000,64.74,37.3,0.9900,-1.140,-1.129
6.1667,65.21,37.2,0.9900,-1.141,-1.130
6.3333,64.96,35.6,0.9900,-1.140,-1.129
6.5000,64.37,36.2,0.9900,-1.139,-1.128
6.6667,64.86,37.6,0.9900,-1.143,-1.131
6.8333,64.82,36.1,0.9900,-1.140,-1.128
7.0000,65.50,35.9,0.9900,-1.138,-1.126
7.1667,65.02,38.0,0.9900,-1.140,-1.129
7.3333,65.29,37.3,0.9900,-1.137,-1.125
7.5000,65.27,37.9,0.9900,-1.138,-1.126
7.6667,65.15,37.7,0.9900,-1.144,-1.133
7.8333,65.42,37.5,0.9900,-1.135,-1.124
8.0000,64.86,37.2,0.9900,-1.140,-1.128
8.1667,64.58,37.8,0.9900,-1.138,-1.127
8.3333,64.74,40.0,0.9900,-1.137,-1.126
8.5000,64.91,39.0,0.9900,-1.141,-1.129
8.6667,65.60,37.8,0.9900,-1.135,-1.124
8.8333,65.17,38.1,0.9900,-1.140,-1.128
9.0000,65.04,37.9,0.9900,-1.142,-1.131
9.1667,65.54,39.3,0.9900,-1.138,-1.127
9.3333,65.52,40.0,0.9900,-1.139,-1.128
9.5000,64.84,39.2,0.9900,-1.139,-1.128
9.6667,64.74,40.9,0.9900,-1.137,-1.126
9.8333,65.17,39.2,0.9900,-1.139,-1.128
10.0000,65.52,39.0,0.9900,-1.137,-1.126
10.1667,65.50,39.9,0.9900,-1.134,-1.123
10.3333,65.31,41.4,0.9900,-1.142,-1.130
10.5000,64.88,39.6,0.9900,-1.141,-1.130
10.6667,64.98,39.6,0.9900,-1.138,-1.126
10.8333,64.88,42.7,0.9900,-1.139,-1.128
11.0000,65.07,41.9,0.9900,-1.139,-1.127
11.1667,65.14,41.8,0.9900,-1.139,-1.128
11.3333,64.90,42.6,0.9900,-1.140,-1.128
11.5000,64.57,41.5,0.9900,-1.141,-1.129
11.6667,64.62,42.7,0.9900,-1.141,-1.130
11.8333,64.31,43.1,0.9900,-1.143,-1.131
12.0000,65.46,44.1,0.9900,-1.142,-1.130
12.1667,65.40,44.1,0.9900,-1.141,-1.130
12.3333,64.95,43.8,0.9900,-1.137,-1.125
12.5000,65.28,43.3,0.9900,-1.140,-1.128
12.6667,65.01,44.1,0.9900,-1.140,-1.128
12.8333,64.78,44.5,0.9900,-1.139,-1.127
13.0000,64.88,44.2,0.9900,-1.141,-1.130
13.1667,64.95,43.9,0.9900,-1.140,-1.128
13.3333,65.16,44.6,0.9900,-1.141,-1.130
13.5000,65.53,46.0,0.9900,-1.138,-1.127
13.6667,65.00,45.2,0.9900,-1.138,-1.127
13.8333,64.95,44.5,0.9900,-1.141,-1.129
14.0000,65.13,45.8,0.9900,-1.140,-1.129
14.1667,65.46,46.4,0.9900,-1.140,-1.129
14.3333,65.19,46.7,0.9900,-1.139,-1.128
14.5000,65.24,46.3,0.9900,-1.139,-1.128
14.6667,64.70,45.4,0.9900,-1.143,-1.132
14.8333,65.00,47.2,0.9900,-1.138,-1.127
15.0000,65.44,46.8,0.9900,-1.137,-1.125
15.1667,65.01,47.6,0.9900,-1.143,-1.131
15.3333,64.01,47.9,0.9900,-1.141,-1.129
