## Header ##
[General info]
User	FDN
Device	AI14-1A
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:23:58
Note	SMU 1A

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.794221	16.793915	0.306356	9.763912	2.991228	1.24E+3	1.07E+3	22.43	2.99
RV	0.767598	16.476673	0.315385	9.643217	3.041323	1.27E+3	1.09E+3	24.05	3.04
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999909E-2	1.778385E+1	8.000002E-1	-2.682010E-1						
-7.999885E-2	1.758331E+1	7.800002E-1	-1.032328E-1						
-5.999893E-2	1.740204E+1	7.600000E-1	6.459279E-2						
-4.000063E-2	1.718327E+1	7.399998E-1	2.437423E-1						
-2.000038E-2	1.701590E+1	7.199995E-1	4.398501E-1						
-7.881594E-7	1.679371E+1	6.999999E-1	6.578878E-1						
1.999945E-2	1.660083E+1	6.799997E-1	9.039315E-1						
3.999937E-2	1.633537E+1	6.599981E-1	1.180944E+0						
5.999994E-2	1.606338E+1	6.400002E-1	1.484276E+0						
8.000050E-2	1.574261E+1	6.200006E-1	1.816226E+0						
1.000007E-1	1.538686E+1	5.999997E-1	2.177121E+0						
1.200013E-1	1.496361E+1	5.800001E-1	2.570426E+0						
1.399990E-1	1.451059E+1	5.599995E-1	2.987058E+0						
1.599992E-1	1.402146E+1	5.399999E-1	3.421099E+0						
1.799995E-1	1.352325E+1	5.199997E-1	3.889368E+0						
2.000000E-1	1.299419E+1	4.999988E-1	4.380482E+0						
2.200003E-1	1.241342E+1	4.799989E-1	4.883823E+0						
2.399999E-1	1.180296E+1	4.600003E-1	5.405147E+0						
2.600007E-1	1.119411E+1	4.400007E-1	5.964771E+0						
2.800010E-1	1.059370E+1	4.200011E-1	6.531411E+0						
3.000012E-1	9.967411E+0	3.999999E-1	7.116305E+0						
3.199989E-1	9.327991E+0	3.799993E-1	7.707330E+0						
3.399988E-1	8.707890E+0	3.600003E-1	8.305461E+0						
3.599994E-1	8.103503E+0	3.399991E-1	8.901126E+0						
3.800006E-1	7.496860E+0	3.199986E-1	9.501582E+0						
4.000005E-1	6.906558E+0	3.000016E-1	1.011734E+1						
4.199998E-1	6.342956E+0	2.800010E-1	1.071506E+1						
4.400016E-1	5.795319E+0	2.600007E-1	1.129229E+1						
4.600006E-1	5.266869E+0	2.400002E-1	1.183514E+1						
4.799989E-1	4.751892E+0	2.200003E-1	1.237147E+1						
4.999991E-1	4.277396E+0	2.000000E-1	1.290589E+1						
5.199994E-1	3.827139E+0	1.799991E-1	1.340755E+1						
5.399983E-1	3.391933E+0	1.599989E-1	1.385956E+1						
5.600008E-1	2.979947E+0	1.399993E-1	1.429048E+1						
5.800001E-1	2.596901E+0	1.200016E-1	1.471425E+1						
6.000010E-1	2.239229E+0	1.000004E-1	1.507563E+1						
6.200006E-1	1.905813E+0	8.000018E-2	1.540078E+1						
6.400015E-1	1.601784E+0	6.000059E-2	1.573234E+1						
6.599991E-1	1.325569E+0	4.000034E-2	1.601740E+1						
6.799994E-1	1.077160E+0	1.999945E-2	1.625919E+1						
6.999990E-1	8.541764E-1	-1.409966E-7	1.647678E+1						
7.199995E-1	6.551811E-1	-2.000071E-2	1.663879E+1						
7.399994E-1	4.766292E-1	-4.000160E-2	1.685372E+1						
7.600007E-1	3.131875E-1	-5.999796E-2	1.704815E+1						
7.800002E-1	1.620341E-1	-7.999917E-2	1.722528E+1						
8.000011E-1	-7.460400E-2	-1.000001E-1	2.486880E+1						
