time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,25.66,898.9,39.5,0.9472,18.906,17.909
0.1667,25.85,901.2,40.7,0.9476,18.972,17.978
0.3333,25.84,905.5,39.3,0.9459,18.947,17.923
0.5000,25.78,902.4,39.4,0.9457,19.288,18.240
0.6667,25.89,904.7,38.7,0.9418,19.242,18.122
0.8333,25.78,902.1,39.5,0.9471,19.017,18.012
1.0000,26.03,909.3,39.5,0.9438,19.079,18.008
1.1667,26.18,904.9,38.4,0.9434,19.107,18.027
1.3333,26.30,905.0,38.6,0.9465,19.137,18.114
1.5000,26.42,909.3,37.9,0.9416,19.204,18.081
1.6667,25.94,910.3,38.4,0.9474,19.154,18.145
1.8333,26.11,907.9,37.2,0.9437,19.260,18.177
2.0000,25.88,910.7,36.3,0.9417,19.027,17.917
2.1667,26.26,913.4,37.5,0.9395,19.124,17.967
2.3333,26.39,910.0,36.3,0.9442,19.203,18.131
2.5000,26.55,912.8,37.7,0.9454,19.141,18.097
2.6667,26.46,913.2,37.7,0.9412,19.083,17.961
2.8333,26.26,915.6,37.7,0.9428,19.164,18.068
3.0000,26.64,911.4,37.1,0.9429,18.981,17.897
3.1667,26.74,919.5,36.6,0.9461,19.196,18.160
3.3333,26.40,917.3,37.7,0.9443,19.207,18.137
3.5000,26.37,921.4,35.0,0.9467,19.139,18.120
3.6667,26.31,913.5,37.5,0.9434,18.978,17.903
3.8333,26.35,919.1,36.8,0.9434,19.242,18.152
4.0000,26.60,909.6,37.4,0.9439,18.903,17.842
4.1667,26.48,916.2,36.5,0.9412,19.187,18.059
4.3333,26.56,920.2,37.8,0.9405,19.395,18.240
4.5000,26.53,924.0,35.6,0.9416,19.351,18.221
4.6667,26.97,919.4,35.7,0.9395,19.081,17.927
4.8333,27.07,918.8,36.1,0.9379,19.320,18.121
5.0000,26.95,921.5,36.8,0.9389,19.130,17.962
5.1667,26.40,920.9,36.5,0.9389,19.481,18.290
5.3333,26.85,922.9,36.6,0.9411,19.153,18.025
5.5000,26.69,924.0,37.0,0.9408,19.529,18.373
5.6667,26.80,929.1,36.5,0.9408,19.267,18.127
5.8333,26.75,925.0,36.6,0.9394,19.182,18.020
6.0000,26.53,929.0,35.6,0.9400,19.277,18.121
6.1667,26.51,930.1,36.0,0.9405,19.300,18.152
6.3333,26.97,926.2,36.4,0.9405,19.270,18.123
6.5000,26.91,931.2,36.5,0.9377,19.394,18.187
6.6667,26.61,925.0,37.0,0.9423,19.116,18.013
6.8333,27.03,930.4,35.4,0.9381,19.526,18.318
7.0000,26.73,927.3,37.7,0.9367,19.304,18.083
7.1667,26.66,929.2,37.4,0.9388,19.253,18.075
7.3333,26.75,928.7,36.7,0.9397,19.178,18.021
