time (h),temperature (°C),relative_humidity (%)
0.0000,23.53,39.3
0.1667,29.83,38.9
0.3333,37.09,37.6
0.5000,43.34,38.8
0.6667,51.10,37.7
0.8333,58.00,38.3
1.0000,64.83,37.7
1.1667,64.67,38.4
1.3333,65.11,39.5
1.5000,65.03,39.8
1.6667,65.53,37.0
1.8333,64.54,37.6
2.0000,65.05,37.7
2.1667,64.86,37.6
2.3333,66.08,36.2
2.5000,64.93,37.2
2.6667,65.16,36.7
2.8333,64.70,37.3
3.0000,64.99,36.4
3.1667,57.90,38.0
3.3333,50.87,35.7
3.5000,44.18,36.6
3.6667,37.00,36.9
3.8333,29.39,37.1
4.0000,23.10,37.5
4.1667,22.69,36.4
4.3333,23.22,35.1
4.5000,22.81,37.3
4.6667,23.08,36.4
4.8333,23.51,36.0
5.0000,22.94,36.0
5.1667,22.81,37.9
5.3333,22.94,37.1
5.5000,22.79,36.6
5.6667,23.16,36.6
5.8333,23.27,36.0
6.0000,23.14,37.7
6.1667,29.81,36.1
6.3333,37.28,37.6
6.5000,43.66,36.8
6.6667,51.04,37.2
6.8333,58.48,36.8
7.0000,64.37,37.2
7.1667,64.52,38.0
7.3333,65.20,37.8
7.5000,65.32,36.8
7.6667,64.72,36.8
7.8333,64.61,36.8
8.0000,65.28,37.3
8.1667,64.76,36.8
8.3333,65.48,38.6
8.5000,65.87,38.4
8.6667,64.70,37.5
8.8333,65.26,38.9
9.0000,64.56,39.9
9.1667,58.13,38.3
9.3333,50.78,38.3
9.5000,43.84,39.8
9.6667,37.10,39.3
9.8333,29.57,40.4
10.0000,23.68,40.9
10.1667,23.44,40.5
10.3333,23.16,40.8
10.5000,23.22,41.1
10.6667,22.86,39.7
10.8333,22.93,41.5
11.0000,23.24,41.1
11.1667,22.78,41.4
11.3333,22.79,42.3
11.5000,22.87,44.0
11.6667,23.28,43.5
11.8333,23.56,42.2
12.0000,22.71,43.9
12.1667,30.34,42.8
12.3333,36.87,43.2
12.5000,44.22,44.3
12.6667,51.01,43.1
12.8333,58.52,44.7
13.0000,64.76,45.6
13.1667,64.80,44.7
13.3333,65.04,43.5
13.5000,64.98,45.0
13.6667,65.17,45.2
13.8333,65.13,45.8
14.0000,65.53,45.7
14.1667,65.13,45.9
14.3333,65.22,46.5
14.5000,64.89,45.3
14.6667,64.78,46.4
14.8333,65.57,46.6
15.0000,65.28,46.2
15.1667,58.17,46.7
15.3333,50.96,46.8
15.5000,43.76,47.9
15.6667,36.80,46.4
15.8333,29.58,47.3
16.0000,23.12,46.9
16.1667,23.09,46.8
16.3333,23.52,47.9
16.5000,23.41,47.4
16.6667,22.91,48.6
16.8333,23.25,47.3
17.0000,23.15,48.2
17.1667,22.89,48.0
17.3333,23.29,48.7
17.5000,23.29,48.0
17.6667,22.72,50.0
17.8333,23.06,48.6
18.0000,23.35,46.5
18.1667,30.28,48.7
18.3333,37.20,48.0
18.5000,43.61,49.5
18.6667,50.94,48.1
18.8333,57.51,47.3
19.0000,65.25,46.9
19.1667,65.11,48.0
19.3333,65.34,48.6
19.5000,65.45,48.5
19.6667,65.33,46.2
19.8333,64.67,46.2
20.0000,64.70,45.8
20.1667,64.48,46.2
20.3333,65.04,46.2
20.5000,65.08,46.2
20.6667,64.84,46.5
20.8333,64.88,46.3
21.0000,64.57,46.0
21.1667,57.67,45.3
21.3333,50.94,46.1
21.5000,43.87,47.2
21.6667,37.31,45.3
21.8333,30.00,45.7
22.0000,23.35,44.6
22.1667,23.43,42.1
22.3333,23.18,44.9
22.5000,22.89,43.8
22.6667,22.97,42.8
22.8333,22.89,45.2
23.0000,23.11,43.1
23.1667,22.96,44.1
23.3333,22.68,43.5
23.5000,23.13,42.6
23.6667,22.92,43.4
23.8333,23.31,42.0
24.0000,22.70,41.9
24.1667,29.96,40.2
24.3333,37.37,41.0
24.5000,44.40,41.7
24.6667,51.61,40.7
24.8333,58.46,41.2
25.0000,65.07,40.3
25.1667,65.37,41.9
25.3333,65.23,40.5
25.5000,64.70,39.8
25.6667,65.82,39.3
25.8333,64.73,40.1
26.0000,64.97,37.8
26.1667,64.99,40.7
26.3333,64.87,39.7
26.5000,65.09,38.6
26.6667,64.81,37.8
26.8333,65.04,38.4
27.0000,65.04,37.3
27.1667,57.82,38.4
27.3333,50.98,37.5
27.5000,44.25,39.5
27.6667,36.87,37.0
27.8333,30.06,38.0
28.0000,23.13,37.0
28.1667,23.04,36.4
28.3333,23.11,37.7
28.5000,22.81,39.3
28.6667,22.75,36.6
28.8333,22.95,38.1
29.0000,22.42,36.4
29.1667,23.14,37.3
29.3333,22.66,36.1
29.5000,22.70,36.2
29.6667,23.13,36.1
29.8333,22.64,36.0
30.0000,23.53,36.3
30.1667,29.66,36.6
30.3333,37.40,35.9
30.5000,43.99,36.9
30.6667,51.13,37.0
30.8333,58.11,37.6
31.0000,64.44,36.5
31.1667,65.35,35.8
31.3333,65.16,36.1
31.5000,65.10,36.1
31.6667,64.43,36.9
31.8333,64.93,35.4
32.0000,64.82,36.6
32.1667,65.18,37.7
32.3333,65.11,38.0
32.5000,65.00,38.7
32.6667,65.40,38.3
32.8333,64.71,36.2
33.0000,65.27,36.1
33.1667,58.62,36.1
33.3333,50.96,37.4
33.5000,44.29,38.4
33.6667,37.41,38.5
33.8333,30.35,38.3
34.0000,22.71,39.0
34.1667,22.71,37.5
34.3333,22.63,39.4
34.5000,22.78,38.7
34.6667,22.93,37.4
34.8333,22.58,38.8
35.0000,22.52,38.8
35.1667,23.10,36.8
35.3333,22.21,40.1
35.5000,22.50,38.0
35.6667,22.78,38.1
35.8333,23.39,40.2
36.0000,23.08,40.9
36.1667,29.93,41.6
36.3333,37.51,39.8
36.5000,44.33,40.6
36.6667,51.12,39.8
36.8333,57.72,41.0
37.0000,65.46,39.1
37.1667,65.37,42.3
37.3333,65.19,41.2
37.5000,65.13,41.9
37.6667,64.55,40.8
37.8333,65.65,42.1
38.0000,64.92,42.8
38.1667,65.10,41.8
38.3333,64.15,42.3
38.5000,64.81,43.4
38.6667,65.74,41.4
38.8333,64.71,40.0
39.0000,65.27,42.2
39.1667,57.64,41.8
39.3333,51.07,42.9
39.5000,43.46,44.6
39.6667,36.90,42.7
39.8333,30.57,43.1
40.0000,23.34,43.6
40.1667,23.05,42.5
40.3333,22.59,41.9
40.5000,23.08,44.2
40.6667,22.86,42.6
40.8333,23.55,43.1
41.0000,23.05,45.1
41.1667,22.63,44.6
41.3333,23.14,43.5
41.5000,22.67,44.4
41.6667,23.07,43.0
41.8333,23.01,42.5
42.0000,22.83,44.1
42.1667,29.58,42.0
42.3333,37.36,43.7
42.5000,43.84,41.3
42.6667,51.55,42.4
42.8333,58.06,42.2
43.0000,64.89,42.7
43.1667,64.72,42.4
43.3333,65.54,43.3
43.5000,64.94,42.6
43.6667,64.86,41.5
43.8333,64.77,41.8
44.0000,65.16,41.2
44.1667,65.61,43.2
44.3333,65.41,42.7
44.5000,64.76,41.1
44.6667,65.39,42.3
44.8333,64.76,40.8
45.0000,65.34,39.8
45.1667,58.00,40.7
45.3333,51.05,39.3
45.5000,43.97,39.2
45.6667,37.04,40.4
45.8333,30.00,40.3
46.0000,23.29,40.3
46.1667,22.79,40.4
46.3333,23.07,39.2
46.5000,23.19,39.3
46.6667,22.83,37.9
46.8333,22.76,39.3
47.0000,22.35,39.3
47.1667,23.12,38.6
47.3333,22.81,36.4
47.5000,23.26,38.8
47.6667,23.16,36.8
47.8333,23.07,39.0
48.0000,22.93,38.0
48.1667,29.60,37.3
48.3333,37.20,37.6
48.5000,43.83,38.4
48.6667,51.23,36.7
48.8333,58.37,35.2
49.0000,64.89,37.0
49.1667,64.77,34.7
49.3333,65.04,34.6
49.5000,64.81,33.6
49.6667,65.24,34.6
49.8333,65.04,34.8
50.0000,64.76,34.4
50.1667,64.94,33.8
50.3333,64.97,34.4
50.5000,65.72,33.2
50.6667,65.39,33.5
50.8333,64.78,33.4
51.0000,64.95,33.0
51.1667,57.98,33.9
51.3333,50.72,33.1
51.5000,44.29,34.7
51.6667,36.46,32.4
51.8333,29.79,33.7
52.0000,23.34,31.1
52.1667,23.12,33.4
52.3333,23.03,32.4
52.5000,22.61,32.3
52.6667,22.87,31.5
52.8333,22.54,33.6
53.0000,23.27,32.4
53.1667,23.47,31.6
53.3333,23.05,31.9
53.5000,22.79,32.0
53.6667,22.78,31.7
53.8333,22.81,33.1
54.0000,23.14,32.2
54.1667,29.72,31.7
54.3333,36.99,30.9
54.5000,44.26,33.4
54.6667,50.64,32.9
54.8333,57.96,32.4
55.0000,64.56,32.8
55.1667,64.72,31.9
55.3333,65.04,33.6
55.5000,65.05,33.2
55.6667,64.59,32.1
55.8333,65.00,33.3
56.0000,64.99,32.7
56.1667,64.71,32.7
56.3333,65.34,33.7
56.5000,65.06,33.7
56.6667,65.29,32.9
56.8333,65.25,33.2
57.0000,65.17,33.8
57.1667,58.26,34.8
57.3333,51.35,35.0
57.5000,43.80,33.7
57.6667,36.24,35.0
57.8333,30.03,35.6
58.0000,23.01,34.6
58.1667,23.16,35.7
58.3333,23.39,34.5
58.5000,22.80,36.2
58.6667,22.61,36.8
58.8333,23.42,36.1
59.0000,23.08,35.9
59.1667,22.54,36.8
59.3333,23.07,37.3
59.5000,23.22,36.4
59.6667,23.54,36.3
59.8333,23.43,36.6
60.0000,23.46,38.8
60.1667,30.49,37.1
60.3333,37.62,38.3
60.5000,44.48,38.6
60.6667,50.58,40.6
60.8333,57.66,38.4
61.0000,64.59,40.4
61.1667,65.05,39.0
61.3333,64.81,41.1
61.5000,65.08,40.3
61.6667,64.59,40.9
61.8333,65.61,39.2
62.0000,64.96,40.2
62.1667,64.76,40.7
62.3333,65.29,41.2
62.5000,64.72,40.6
62.6667,65.34,41.3
62.8333,64.95,42.1
63.0000,65.03,42.0
63.1667,57.64,42.5
63.3333,51.26,41.1
63.5000,43.56,41.4
63.6667,36.86,44.0
63.8333,30.08,43.2
64.0000,22.83,43.1
64.1667,22.71,43.6
64.3333,22.99,42.8
64.5000,23.32,44.4
64.6667,23.06,44.3
64.8333,23.05,43.8
65.0000,23.60,42.2
65.1667,22.97,44.4
65.3333,22.96,43.9
65.5000,23.31,43.4
65.6667,23.13,44.9
65.8333,23.03,44.0
66.0000,22.85,44.4
66.1667,30.39,45.5
66.3333,37.33,46.1
66.5000,43.82,44.5
66.6667,51.24,44.8
66.8333,57.84,43.0
67.0000,65.03,44.2
67.1667,65.09,42.8
67.3333,65.24,43.8
67.5000,64.84,45.5
67.6667,64.86,44.1
67.8333,65.06,43.4
68.0000,64.84,44.6
68.1667,65.18,42.9
68.3333,65.03,42.2
68.5000,65.04,43.0
68.6667,65.31,42.9
68.8333,65.03,43.8
69.0000,65.24,43.5
69.1667,58.33,43.3
69.3333,51.07,44.1
69.5000,44.70,42.8
69.6667,37.12,42.6
69.8333,30.15,41.3
70.0000,22.75,42.0
70.1667,23.15,42.4
70.3333,23.11,42.1
70.5000,22.96,42.5
70.6667,22.88,41.2
70.8333,22.94,41.3
71.0000,23.16,41.9
71.1667,23.55,41.8
71.3333,23.30,40.5
71.5000,23.13,41.5
71.6667,22.69,42.6
71.8333,23.17,39.7
72.0000,22.26,40.7
72.1667,30.18,38.5
72.3333,36.70,40.7
72.5000,44.07,40.3
72.6667,51.33,39.1
72.8333,57.88,41.2
73.0000,64.89,37.9
73.1667,65.09,39.8
73.3333,65.06,39.2
73.5000,64.34,40.1
73.6667,65.31,38.6
73.8333,64.97,38.9
74.0000,64.86,38.4
74.1667,64.68,39.4
74.3333,65.37,39.5
74.5000,65.25,37.2
74.6667,64.94,36.8
74.8333,64.59,38.5
75.0000,64.92,38.7
75.1667,57.98,36.1
75.3333,50.88,37.1
75.5000,43.47,37.2
75.6667,36.78,37.9
75.8333,30.33,36.4
76.0000,22.93,36.1
76.1667,22.84,34.8
76.3333,23.40,35.8
76.5000,23.15,37.4
76.6667,23.15,39.0
76.8333,22.80,37.7
77.0000,22.32,38.7
77.1667,22.48,37.6
77.3333,23.23,36.8
77.5000,23.25,37.6
77.6667,23.22,37.2
77.8333,23.39,36.7
78.0000,23.27,37.6
78.1667,29.37,37.6
78.3333,36.92,38.5
78.5000,44.14,37.8
78.6667,51.55,36.7
78.8333,57.98,39.1
79.0000,64.90,38.1
79.1667,64.99,37.0
79.3333,65.28,38.2
79.5000,65.16,39.5
79.6667,65.09,37.7
79.8333,64.61,38.9
80.0000,64.78,37.8
80.1667,65.26,38.0
80.3333,64.84,39.0
80.5000,64.53,38.1
80.6667,65.09,38.3
80.8333,64.93,39.0
81.0000,64.71,40.0
81.1667,58.24,40.0
81.3333,51.09,40.2
81.5000,43.95,40.3
81.6667,36.86,40.5
81.8333,30.16,40.1
82.0000,22.93,38.5
82.1667,23.14,40.7
82.3333,23.09,40.1
82.5000,23.14,41.6
82.6667,22.97,42.0
82.8333,23.49,41.9
83.0000,22.93,41.0
83.1667,22.61,42.6
83.3333,23.17,41.3
83.5000,22.96,41.0
83.6667,23.03,41.5
83.8333,22.76,42.1
84.0000,23.18,44.0
84.1667,30.09,43.3
84.3333,36.55,45.0
84.5000,43.31,43.0
84.6667,51.13,43.4
84.8333,58.12,45.6
85.0000,64.89,44.3
85.1667,65.66,45.3
85.3333,65.01,45.2
85.5000,65.11,45.0
85.6667,65.04,46.1
85.8333,65.22,47.0
86.0000,64.98,45.8
86.1667,65.19,45.6
86.3333,65.64,47.0
86.5000,65.33,46.6
86.6667,64.94,45.9
86.8333,64.92,46.2
87.0000,65.15,47.2
87.1667,57.85,46.5
87.3333,50.86,45.7
