time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,-25.27,898.2,50.3,1.0414,19.009,19.797
0.1667,-20.13,902.5,50.8,1.0368,18.862,19.556
0.3333,-14.80,901.9,50.1,1.0219,19.128,19.547
0.5000,-9.97,903.5,50.7,1.0140,18.871,19.135
0.6667,-5.04,907.1,50.7,1.0022,19.238,19.280
0.8333,-0.15,903.5,50.3,0.9930,19.000,18.867
1.0000,5.33,904.1,50.3,0.9843,19.044,18.744
1.1667,9.69,908.9,49.7,0.9737,19.280,18.773
1.3333,15.01,907.6,50.0,0.9682,19.089,18.481
1.5000,20.49,911.4,50.4,0.9557,19.232,18.379
1.6667,25.35,913.5,50.2,0.9458,19.315,18.269
1.8333,30.72,909.0,49.2,0.9346,19.197,17.942
2.0000,34.90,907.8,49.7,0.9273,19.019,17.636
2.1667,39.60,910.6,50.5,0.9186,19.330,17.757
2.3333,45.24,912.9,50.3,0.9119,19.101,17.419
2.5000,49.81,911.5,50.2,0.8990,19.162,17.227
2.6667,55.29,913.0,49.8,0.8891,19.180,17.054
2.8333,59.95,916.8,49.7,0.8769,19.308,16.930
3.0000,65.02,911.5,50.7,0.8704,19.084,16.611
3.1667,59.90,909.5,50.1,0.8764,18.876,16.544
3.3333,54.47,918.6,49.4,0.8859,19.295,17.093
3.5000,50.08,920.8,50.1,0.8982,19.168,17.218
3.6667,45.00,922.1,50.5,0.9039,19.379,17.516
3.8333,40.03,918.6,50.0,0.9137,19.232,17.572
4.0000,35.03,917.8,50.5,0.9262,19.009,17.605
4.1667,29.47,919.0,49.6,0.9355,19.245,18.004
4.3333,25.16,916.1,50.4,0.9431,19.143,18.053
4.5000,20.03,923.1,50.2,0.9481,19.411,18.404
4.6667,14.93,922.6,50.6,0.9625,19.299,18.575
4.8333,9.92,920.8,50.4,0.9693,19.235,18.644
5.0000,4.47,925.0,49.3,0.9841,19.067,18.764
5.1667,0.63,929.8,50.3,0.9900,19.588,19.391
5.3333,-4.83,918.6,49.6,0.9971,19.133,19.077
5.5000,-10.27,923.6,49.7,1.0090,19.370,19.545
5.6667,-15.00,921.3,50.9,1.0181,19.029,19.373
5.8333,-19.93,923.6,50.2,1.0283,19.080,19.621
6.0000,-25.32,922.9,50.4,1.0386,19.262,20.006
6.1667,-20.20,927.6,50.4,1.0278,19.513,20.056
6.3333,-15.04,926.6,49.4,1.0173,19.250,19.584
6.5000,-9.44,925.9,49.5,1.0104,19.356,19.558
6.6667,-5.03,931.2,49.2,1.0007,19.237,19.251
6.8333,-0.07,930.4,50.8,0.9913,19.223,19.056
7.0000,5.36,933.3,49.5,0.9779,19.584,19.151
7.1667,10.38,933.3,50.4,0.9694,19.373,18.779
7.3333,14.82,932.6,50.1,0.9595,19.571,18.778
7.5000,19.19,931.0,50.2,0.9515,19.360,18.422
7.6667,25.23,932.5,50.3,0.9404,19.649,18.479
7.8333,30.59,939.4,51.3,0.9315,19.448,18.115
8.0000,34.21,937.9,49.8,0.9250,19.373,17.921
8.1667,39.76,928.4,49.2,0.9164,19.338,17.721
8.3333,44.89,937.2,49.3,0.9043,19.505,17.638
8.5000,49.88,939.7,49.8,0.8908,19.653,17.507
8.6667,54.78,930.0,49.7,0.8830,19.368,17.101
8.8333,60.29,936.5,50.4,0.8748,19.439,17.004
9.0000,64.80,936.5,50.2,0.8652,19.418,16.800
9.1667,60.25,937.0,49.7,0.8723,19.409,16.930
9.3333,55.62,933.5,49.5,0.8819,19.341,17.056
9.5000,50.14,938.8,49.6,0.8937,19.622,17.537
9.6667,44.50,938.1,50.2,0.9000,19.406,17.465
9.8333,40.35,938.8,49.9,0.9137,19.387,17.714
10.0000,35.08,931.8,50.0,0.9205,19.376,17.836
10.1667,30.03,942.0,49.3,0.9300,19.452,18.090
10.3333,24.99,931.7,49.3,0.9414,19.087,17.968
10.5000,19.65,939.7,50.2,0.9511,19.196,18.258
10.6667,14.63,944.4,50.6,0.9589,19.508,18.706
10.8333,9.93,940.1,50.9,0.9665,19.371,18.722
11.0000,5.05,949.8,49.6,0.9794,19.544,19.142
11.1667,0.09,941.3,49.9,0.9877,19.316,19.078
11.3333,-4.76,935.5,49.7,0.9951,19.312,19.217
11.5000,-9.78,937.6,49.6,1.0006,19.477,19.489
11.6667,-15.25,945.1,50.2,1.0180,19.457,19.807
11.8333,-19.96,943.5,50.0,1.0254,19.489,19.985
