## Header ##
[General info]
User	FDN
Device	AI22-1B
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-19
Time	21:20:04
Note	SMU 1B

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.510030	17.307825	0.279465	10.174611	2.843450	2.65E+2	6.93E+2	32.21	2.84
RV	0.520001	20.031727	0.310569	11.993240	3.724728	1.58E+2	6.61E+2	35.76	3.72
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-1.000001E-1	1.859613E+1	5.200007E-1	3.381508E-2						
-7.999991E-2	1.835518E+1	5.000005E-1	1.437706E+0						
-5.999937E-2	1.812656E+1	4.799999E-1	2.857467E+0						
-3.999981E-2	1.786175E+1	4.600000E-1	4.285903E+0						
-1.999926E-2	1.759464E+1	4.399998E-1	5.709378E+0						
-2.677799E-8	1.730794E+1	4.199993E-1	7.158500E+0						
2.000117E-2	1.694443E+1	3.999997E-1	8.233037E+0						
4.000040E-2	1.657443E+1	3.799995E-1	9.123830E+0						
6.000062E-2	1.619361E+1	3.599999E-1	9.977862E+0						
8.000084E-2	1.585638E+1	3.400001E-1	1.082133E+1						
1.000011E-1	1.541750E+1	3.199989E-1	1.162409E+1						
1.200013E-1	1.494851E+1	2.999993E-1	1.239834E+1						
1.400018E-1	1.449654E+1	2.799988E-1	1.312337E+1						
1.600014E-1	1.400212E+1	2.599989E-1	1.379369E+1						
1.799990E-1	1.344815E+1	2.399986E-1	1.445252E+1						
1.999998E-1	1.288616E+1	2.199981E-1	1.503890E+1						
2.199991E-1	1.227279E+1	1.999985E-1	1.559079E+1						
2.399996E-1	1.159081E+1	1.799990E-1	1.613440E+1						
2.599998E-1	1.087291E+1	1.600014E-1	1.662861E+1						
2.799997E-1	1.015509E+1	1.400005E-1	1.708540E+1						
2.999996E-1	9.392379E+0	1.200009E-1	1.753904E+1						
3.199989E-1	8.555132E+0	1.000011E-1	1.801941E+1						
3.399994E-1	7.675469E+0	8.000116E-2	1.844663E+1						
3.599999E-1	6.788551E+0	6.000062E-2	1.884299E+1						
3.799998E-1	5.874045E+0	3.999975E-2	1.927254E+1						
3.999994E-1	4.923139E+0	2.000019E-2	1.967874E+1						
4.200006E-1	3.992098E+0	-2.677799E-8	2.003176E+1						
4.400002E-1	3.077111E+0	-2.000024E-2	2.035210E+1						
4.600000E-1	2.164703E+0	-4.000013E-2	2.065313E+1						
4.800006E-1	1.267277E+0	-6.000035E-2	2.094173E+1						
5.000001E-1	4.144517E-1	-8.000056E-2	2.129795E+1						
5.200007E-1	-4.081668E-1	-1.000001E-1	2.159297E+1						
